N	2gram	Tiupa_Narr	Dialekti
1	не есть	3	181
2	и не	20	120
3	по себе	5	79
4	а не	12	78
5	и в	19	77
6	точки зрения	10	72
7	может быть	25	71
8	не только	32	66
9	то что	11	59
10	и есть	2	55
11	ничего не	2	54
12	не может	10	53
13	и даже	3	47
14	с точки	2	46
15	что это	3	46
16	как бы	4	43
17	ни в	3	42
18	не имеет	2	41
19	в том	18	40
20	в этом	17	39
21	то же	4	39
22	в себе	8	38
23	том что	14	37
24	что он	6	37
25	прежде всего	4	37
26	это не	2	36
27	что в	3	34
28	в нем	4	34
29	и все	2	33
30	того что	2	33
31	но и	23	32
32	и как	5	30
33	отнюдь не	5	30
34	сказать что	4	30
35	так и	9	29
36	было бы	4	29
37	как и	7	28
38	никогда не	3	27
39	не в	14	26
40	говорить о	2	25
41	есть всегда	2	24
42	в то	3	23
43	это и	3	23
44	она не	2	21
45	что не	4	21
46	должна быть	2	21
47	только в	4	20
48	как раз	2	20
49	совершенно не	2	20
50	о том	6	20
51	уже не	5	20
52	и с	4	20
53	в таком	2	20
54	в своем	2	19
55	что мы	2	19
56	как это	6	19
57	не менее	3	19
58	не существует	3	19
59	и его	5	19
60	иное как	2	18
61	не что	2	18
62	что иное	2	18
63	с другой	8	18
64	хотя бы	4	18
65	же время	4	18
66	жизни и	3	18
67	в основе	5	17
68	той или	4	17
69	в сущности	3	17
70	можно сказать	5	17
71	в особенности	4	17
72	к нему	5	16
73	да и	4	16
74	тем не	3	16
75	то в	6	15
76	все же	7	15
77	так же	2	15
78	самом деле	2	15
79	хотя и	3	15
80	личности в	2	15
81	несмотря на	2	15
82	и потому	2	14
83	и ее	2	14
84	таком случае	2	14
85	а именно	3	14
86	не было	2	14
87	и только	2	14
88	в силу	4	13
89	не то	2	13
90	но в	6	13
91	в ней	3	13
92	отличается от	4	13
93	говорит о	2	13
94	он не	3	13
95	что именно	2	13
96	что они	3	13
97	другой стороны	4	13
98	с ее	3	13
99	субъекта и	2	13
100	могут быть	3	12
101	еще не	7	12
102	все эти	2	12
103	именно в	6	12
104	перед нами	4	12
105	но как	2	12
106	даже не	3	12
107	а в	11	12
108	тем более	2	12
109	но не	6	12
110	не о	3	11
111	та же	2	11
112	себе не	2	11
113	и тем	4	11
114	в данном	5	11
115	мы имеем	2	11
116	есть в	2	11
117	из них	3	11
118	или в	2	11
119	одно из	2	10
120	к тому	7	10
121	в ее	3	10
122	как мы	3	10
123	в его	9	10
124	и для	2	10
125	оно не	2	10
126	или иное	2	10
127	в частности	14	10
128	в результате	2	10
129	то или	3	10
130	времени и	7	10
131	как будто	3	10
132	только о	2	10
133	а если	2	9
134	точка зрения	6	9
135	не как	2	9
136	подобно тому	2	9
137	тому как	2	9
138	или иной	5	9
139	утверждать что	2	9
140	быть может	2	9
141	же как	3	9
142	при этом	9	9
143	и когда	2	9
144	и он	3	9
145	в противоположность	2	9
146	и на	3	9
147	не будет	3	8
148	не на	2	8
149	в этой	5	8
150	того или	2	8
151	с одной	7	8
152	но все	4	8
153	даже в	2	8
154	один из	3	8
155	когда мы	2	8
156	нет и	2	8
157	или иначе	3	8
158	себя в	5	8
159	тем самым	6	7
160	из этих	3	7
161	связи с	4	7
162	его как	2	7
163	на первый	2	7
164	тем что	3	7
165	в связи	2	7
166	нуждается в	5	7
167	сами по	2	7
168	со стороны	9	7
169	не всегда	2	7
170	мира и	2	7
171	точно так	2	7
172	с его	6	7
173	истории и	2	7
174	как в	7	7
175	так или	2	7
176	в мире	9	7
177	из которых	4	7
178	он сам	2	7
179	то ни	3	7
180	отношения к	2	7
181	отношение к	2	6
182	они не	2	6
183	более или	2	6
184	при всем	2	6
185	себя и	2	6
186	одна из	3	6
187	что нет	2	6
188	по своей	3	6
189	но о	3	6
190	в себя	6	6
191	его в	2	6
192	о чем	2	6
193	или менее	2	6
194	это все	2	6
195	по существу	2	6
196	о нем	4	6
197	одной стороны	7	6
198	этой точки	2	6
199	можно было	2	6
200	более не	2	6
201	не отличается	2	6
202	для него	2	6
203	не с	3	6
204	мог бы	3	6
205	уже в	3	6
206	может не	3	6
207	во времени	8	5
208	точку зрения	4	5
209	что на	2	5
210	же не	4	5
211	речь идет	4	5
212	если в	3	5
213	не является	8	5
214	например в	2	5
215	что у	2	5
