N	2gram	Voloshinov	VrazhdaK
1	не только	28	9
2	в этом	10	8
3	и в	42	8
4	но и	16	7
5	и все	4	7
6	то что	9	7
7	но в	5	6
8	как и	12	6
9	в котором	3	6
10	в начале	3	6
11	в нем	6	6
12	и с	5	6
13	все же	9	6
14	и даже	3	6
15	и не	14	5
16	не было	2	5
17	об этом	3	5
18	то же	16	5
19	в то	9	5
20	же время	7	5
21	между тем	3	5
22	для нас	3	4
23	уже в	5	4
24	целый ряд	3	4
25	несмотря на	3	4
26	в своих	2	4
27	это не	3	4
28	в виду	3	4
29	все это	4	4
30	при этом	9	4
31	о том	4	4
32	в ней	8	4
33	как бы	30	4
34	так же	4	4
35	что он	2	4
36	с ним	2	4
37	может быть	13	4
38	человека в	2	3
39	в том	3	3
40	его в	4	3
41	что у	3	3
42	и уже	3	3
43	том что	3	3
44	в его	6	3
45	в связи	2	3
46	и его	7	3
47	и как	10	3
48	он не	2	3
49	связи с	3	3
50	эти слова	9	3
51	к этому	2	3
52	в конце	6	3
53	с его	8	3
54	тем что	2	3
55	никогда не	7	2
56	и то	5	2
57	уже не	4	2
58	в мире	2	2
59	и т.п	25	2
60	место в	2	2
61	в него	2	2
62	в той	5	2
63	для него	3	2
64	и это	8	2
65	на первый	2	2
66	с точки	5	2
67	а в	5	2
68	человека с	2	2
69	в этой	6	2
70	том же	2	2
71	в нашей	2	2
72	в своей	2	2
73	но как	2	2
74	и он	2	2
75	в себе	10	2
76	еще не	3	2
77	точки зрения	11	2
78	о чем	2	2
79	таким образом	8	2
80	его и	3	2
81	отношения к	3	2
82	в свою	6	2
83	на это	4	2
84	их в	3	2
85	не может	13	2
86	из них	3	2
87	ответ на	3	2
88	но это	2	2
89	отнюдь не	10	2
90	а с	5	2
91	не мог	3	2
92	вместе с	5	2
93	отношение к	2	2
