N	3gram	Medvedev_V	Literetu
1	в то же	5	21
2	то же время	5	21
3	в том что	5	21
4	по отношению к	7	12
5	с одной стороны	2	12
6	не может быть	8	11
7	в конечном счете	5	10
8	о том что	3	10
9	в этом отношении	14	10
10	с другой стороны	8	7
11	в том числе	2	6
12	подобно тому как	3	6
13	не только в	2	6
14	этой точки зрения	2	5
15	в связи с	4	5
16	в том чтобы	2	5
17	и т п	9	3
18	во всяком случае	2	3
19	по крайней мере	2	3
20	только в том	2	3
21	одной стороны и	2	3
22	том числе и	2	3
23	в одном из	4	3
24	для того чтобы	3	2
25	только то что	2	2
26	не удивительно что	3	2
27	для него в	2	2
28	не только не	2	2
29	чуть ли не	2	2
30	к тому что	4	2
31	в другом месте	2	2
32	можно было бы	2	2
33	вместе с тем	4	2
