N	2gram	Tiupa_Hudo	Sovremen
1	не может	10	17
2	точки зрения	7	12
3	может быть	12	12
4	мы не	2	9
5	и в	34	7
6	в этом	22	7
7	и не	15	6
8	ничего не	11	6
9	как и	16	6
10	в результате	2	6
11	что же	4	5
12	с точки	5	5
13	все эти	4	5
14	прежде всего	12	5
15	нет и	2	4
16	вопрос о	2	4
17	это не	12	4
18	не только	22	4
19	в том	24	4
20	как бы	11	4
21	их в	2	4
22	так как	2	4
23	же это	2	4
24	в дальнейшем	2	4
25	в целом	2	4
26	жизни и	10	4
27	вместе с	2	4
28	а в	11	4
29	из них	5	4
30	для нас	4	3
31	и т.д	3	3
32	следующим образом	3	3
33	когда мы	2	3
34	и потому	3	3
35	но в	6	3
36	при этом	21	3
37	но мы	2	3
38	не в	16	3
39	все же	5	3
40	у всех	3	3
41	он в	2	3
42	как он	4	3
43	было бы	8	3
44	уже в	2	3
45	в себе	19	3
46	еще не	10	3
47	одна из	4	3
48	и все	10	3
49	все это	2	3
50	в нем	5	3
51	а не	23	3
52	в первом	2	3
53	и к	6	3
54	что она	10	3
55	в этой	11	3
56	то же	14	3
57	в одном	3	3
58	отнюдь не	4	3
59	в конце	5	3
60	в системе	2	3
61	ясно что	2	3
62	но все	2	2
63	на его	2	2
64	и по	3	2
65	не знаем	2	2
66	же самое	4	2
67	что все	3	2
68	которой он	2	2
69	роль в	2	2
70	каждого из	3	2
71	можно назвать	2	2
72	не менее	9	2
73	той же	3	2
74	в его	17	2
75	с этим	3	2
76	говорить об	2	2
77	и что	3	2
78	то и	5	2
79	вторая половина	2	2
80	такого рода	4	2
81	приводит к	5	2
82	что при	3	2
83	из этих	3	2
84	так сказать	3	2
85	ее на	3	2
86	в самом	7	2
87	она может	2	2
88	в виде	2	2
89	знаем что	2	2
90	что в	8	2
91	времени и	2	2
92	ни одна	2	2
93	в таком	3	2
94	в которой	2	2
95	у него	13	2
96	такой же	3	2
97	самом деле	6	2
98	уже не	12	2
99	по мнению	6	2
100	то ни	2	2
101	в нашем	2	2
102	теперь же	4	2
103	с одной	4	2
104	на этом	5	2
105	как мы	5	2
106	говорить о	4	2
107	мы с	3	2
108	мы знаем	4	2
109	что это	2	2
110	этих двух	2	2
111	или иной	2	2
112	тем не	7	2
113	наблюдения и	2	2
114	и даже	4	2
