N	2gram	Propp_Russ	FransuaR
1	и в	59	367
2	то есть	3	209
3	в этом	18	112
4	и не	6	101
5	таким образом	10	100
6	и его	2	99
7	в его	3	98
8	прежде всего	2	92
9	не только	28	87
10	мы уже	2	85
11	но и	20	84
12	как бы	18	82
13	все эти	5	79
14	как и	19	76
15	в нем	3	75
16	но в	5	75
17	и др	4	72
18	и на	14	72
19	в том	33	71
20	как мы	11	71
21	то же	6	66
22	и все	4	66
23	так и	8	65
24	в этой	4	65
25	в них	10	65
26	и с	12	64
27	во время	23	63
28	в то	3	63
29	все это	12	62
30	во всех	6	62
31	что в	35	52
32	в своем	3	51
33	только в	4	48
34	так как	25	46
35	и до	3	46
36	том что	33	45
37	в году	5	44
38	то что	10	41
39	у него	2	40
40	точки зрения	3	37
41	в ней	3	37
42	может быть	14	35
43	мы видим	2	35
44	он был	2	35
45	о том	14	35
46	мы видели	3	32
47	связаны с	6	31
48	до конца	5	31
49	так же	7	30
50	и потому	3	30
51	один из	10	30
52	потому что	15	30
53	но он	3	30
54	в этих	3	29
55	не может	6	29
56	еще не	7	29
57	его в	9	29
58	не в	2	29
59	при этом	11	29
60	в одном	4	29
61	в особенности	3	29
62	связи с	6	29
63	что он	2	29
64	из них	12	28
65	всех этих	2	28
66	и к	3	28
67	по своему	2	27
68	и другие	24	27
69	и их	4	27
70	на части	9	27
71	все же	7	27
72	кроме того	3	26
73	на самом	3	25
74	в области	3	25
75	но это	5	25
76	того чтобы	6	24
77	и от	2	24
78	в частности	2	24
79	например в	3	24
80	но не	7	24
81	в большинстве	2	24
82	как в	10	24
83	и у	5	24
84	своего рода	3	23
85	и для	3	23
86	это не	14	23
87	в их	5	23
88	с ним	2	23
89	и здесь	3	23
90	есть и	2	23
91	к нему	3	23
92	большинстве случаев	2	23
93	и о	4	22
94	и во	2	22
95	а в	16	22
96	что и	8	22
97	там где	3	22
98	и других	9	22
99	тем что	7	22
100	вместе с	16	22
101	не было	3	22
102	именно в	3	21
103	в своих	3	21
104	в качестве	5	21
105	что это	4	21
106	и наконец	2	21
107	одним из	2	21
108	есть в	2	21
109	и как	2	21
110	уже в	2	21
111	в образе	3	20
112	а также	6	20
113	в виду	3	20
114	они были	2	20
115	с точки	3	20
116	и это	2	20
117	в связи	4	20
118	в форме	3	19
119	в дальнейшем	2	19
120	их в	7	19
121	во всем	2	19
122	хотя и	3	19
123	к этому	7	19
124	в эту	3	19
125	было бы	3	19
126	далеко не	5	19
127	связанные с	5	18
128	на этом	6	18
129	но они	4	18
130	перед нами	2	18
131	одна из	12	18
132	связанных с	2	17
133	для того	6	17
134	но все	3	17
135	того что	6	17
136	можно было	3	17
137	такой же	3	17
138	а не	3	17
139	между тем	9	16
140	тот же	2	16
141	ничего не	4	16
142	влияние на	3	16
143	в свете	5	16
144	одно из	6	15
145	еще в	6	15
146	в нашем	2	15
147	как на	2	15
148	а затем	5	15
149	в которой	3	15
150	на весь	3	15
151	не были	2	15
152	из этих	6	15
153	мы не	11	14
154	все что	2	14
155	по существу	7	14
156	в данном	7	14
157	в более	2	14
158	несмотря на	4	14
159	и по	10	14
160	в котором	2	14
161	земли и	5	14
162	образом в	2	14
163	на них	4	14
164	так в	5	13
165	как он	2	13
166	отличие от	4	13
167	что все	2	13
168	на этой	3	13
169	в других	24	13
170	или в	7	13
171	с этим	4	13
172	и еще	2	13
173	жизнь и	2	13
174	в жизни	2	13
175	в праздник	3	13
176	не на	2	13
177	его к	3	13
178	о чем	7	13
179	на все	3	13
180	в основном	4	13
181	только на	4	13
182	они и	2	13
183	только для	3	12
184	у нас	11	12
185	смерти и	3	12
186	право на	2	12
187	начиная с	4	12
188	во всей	2	12
189	в народной	2	12
190	игры в	2	12
191	в пределах	2	12
192	и ее	3	12
193	та же	4	12
194	главным образом	5	12
195	не был	3	12
196	место в	2	12
197	этого праздника	5	12
198	об этом	11	12
199	так например	7	11
200	в заключение	2	11
201	и более	3	11
202	того как	6	11
203	уже не	9	11
204	и что	8	11
205	из самых	2	11
206	и нового	2	11
207	в течение	7	11
208	с ними	6	11
209	что они	8	11
210	в отличие	4	11
211	и так	2	11
212	данном случае	8	10
213	мы здесь	2	10
214	самом же	2	10
215	были связаны	2	10
216	в доме	2	10
217	на земле	3	10
218	на этот	3	10
219	там же	15	10
220	в таких	3	10
221	к тому	4	10
222	ту же	2	10
223	его как	2	10
224	нас в	2	10
225	что для	4	10
226	где они	2	10
227	в целом	2	10
228	же деле	2	10
229	не просто	3	10
230	на землю	2	9
231	значение и	2	9
232	как известно	2	9
233	со смехом	2	9
234	говорит о	3	9
235	этой же	2	9
236	вплоть до	4	9
237	как это	11	9
238	связано с	3	9
239	в разных	3	9
240	вся эта	2	9
241	и то	2	9
242	некоторые из	2	9
243	для нас	12	9
244	в тех	5	9
245	том же	6	9
246	для этой	3	9
247	что на	5	9
248	не имеет	9	9
249	в которых	8	9
250	же в	5	9
251	под названием	3	9
252	мы можем	2	9
253	к жизни	3	9
254	с этой	2	8
255	следовательно и	2	8
256	так что	4	8
257	здесь мы	3	8
258	с тем	14	8
259	от этого	2	8
260	для этого	6	8
261	после того	3	8
262	значение в	2	8
263	в эти	4	8
264	но эта	2	8
265	в это	4	8
266	в него	2	8
267	но эти	3	8
268	мы увидим	8	8
269	как они	2	8
270	всякого рода	3	8
271	и при	2	8
272	смерти в	2	8
273	на первый	3	8
274	не менее	3	8
275	и те	3	8
276	дело не	2	8
277	в этот	19	8
278	ко всему	2	8
279	то время	3	8
280	не будем	5	7
281	в церкви	2	7
282	в целях	4	7
283	интерес к	2	7
284	что у	3	7
285	в свою	3	7
286	должен быть	2	7
287	тому как	3	7
288	и за	2	7
289	только с	2	7
290	по этому	4	7
291	в виде	10	7
292	и всей	2	7
293	к ним	4	7
294	по всему	2	7
295	подобно тому	3	7
296	из которых	2	7
297	характер этого	2	7
298	в таком	5	7
299	народного творчества	2	7
300	думать что	3	7
301	от них	4	7
302	эта связь	2	7
303	в настоящее	3	7
304	а на	8	7
305	нас не	3	7
306	и там	2	7
307	в различных	3	7
308	настоящее время	3	7
309	представление о	5	7
310	но она	3	7
311	в некоторых	11	7
312	что по	7	7
313	руки и	3	6
314	возможно что	2	6
315	что здесь	4	6
316	свою очередь	2	6
317	у них	2	6
318	и под	4	6
319	как у	2	6
320	вряд ли	2	6
321	входит в	4	6
322	или даже	3	6
323	это время	4	6
324	ее в	7	6
325	могут быть	3	6
326	для них	5	6
327	что она	4	6
328	а именно	2	6
329	мы наблюдаем	2	6
330	представления о	2	6
331	в народном	4	6
332	и следовательно	2	6
333	его и	2	6
334	друг друга	3	6
335	в один	2	6
336	в руках	3	6
337	между прочим	2	6
338	до того	3	6
339	этого слова	3	6
340	судить о	2	6
341	в xix	13	6
342	очень много	2	6
343	с таким	2	6
344	находится в	3	6
345	в землю	8	6
346	как будто	6	6
347	на что	2	6
348	которые в	2	6
349	за счет	2	6
350	видно что	8	6
351	не столько	3	6
352	а иногда	6	6
353	и пр	4	6
354	говорить о	2	6
355	таким же	4	6
356	тогда когда	4	5
357	в г	6	5
358	можно говорить	2	5
359	с собой	4	5
360	когда он	3	5
361	значения и	2	5
362	не является	2	5
363	чем в	4	5
364	каждый из	3	5
365	с другими	3	5
366	церкви и	3	5
367	как например	6	5
368	должно быть	2	5
369	должен был	3	5
370	а за	4	5
371	так называемый	2	5
372	слова в	3	5
373	землю и	2	5
374	по его	2	5
375	но даже	2	5
376	на голову	6	5
377	на место	2	5
378	себя и	2	5
379	тут же	2	5
380	во многих	14	5
381	и из	3	5
382	все в	2	5
383	он пишет	2	5
384	он так	2	5
385	же как	5	5
386	в числе	2	5
387	независимо от	3	5
388	мы имеем	7	5
389	с праздником	2	5
390	не к	3	5
391	на то	2	5
392	по улицам	4	5
393	старого года	2	5
394	в каждом	2	4
395	он должен	2	4
396	иногда в	2	4
397	что этот	4	4
398	такое же	2	4
399	и всем	2	4
400	борьбы с	2	4
401	ее от	2	4
402	и связанные	2	4
403	в самый	2	4
404	когда они	2	4
405	но если	2	4
406	г в	5	4
407	на которой	2	4
408	о них	2	4
409	в день	12	4
410	народа в	2	4
411	в отдельности	2	4
412	при всех	2	4
413	них в	2	4
414	что эти	2	4
415	других местах	11	4
416	ее на	3	4
417	животных и	4	4
418	ряд других	2	4
419	также в	5	4
420	в фольклоре	3	4
421	что такие	2	4
422	их и	3	4
423	связь между	2	4
424	также что	2	4
425	заметить что	3	4
426	и обряды	3	4
427	же не	2	4
428	этому вопросу	2	4
429	который в	2	4
430	быть и	3	4
431	не случайно	2	4
432	или же	2	4
433	оно не	2	4
434	этот вопрос	4	4
435	из своей	2	4
436	не совсем	6	4
437	в период	2	4
438	если в	3	4
439	его от	2	4
440	этого времени	2	4
441	и некоторые	3	4
442	и свои	2	4
443	считает что	2	4
444	там и	2	4
445	к ней	4	4
446	из своих	2	4
447	новый год	26	4
448	к новому	2	4
449	то на	3	4
450	он есть	2	3
451	должно было	5	3
452	на новый	3	3
453	на других	3	3
454	относятся к	3	3
455	ногами и	2	3
456	она не	4	3
457	встречаются и	2	3
458	год и	6	3
459	после обеда	5	3
460	и другим	3	3
461	именно с	3	3
462	на нее	5	3
463	нового года	10	3
464	не что	3	3
465	много и	3	3
466	должны были	3	3
467	что иное	3	3
468	улицам и	3	3
469	которое в	2	3
470	и после	2	3
471	также не	2	3
472	собой и	2	3
473	этой работы	2	3
474	не всегда	4	3
475	в одно	2	3
476	после этого	6	3
477	тому что	4	3
478	на другой	2	3
479	по земле	2	3
480	для обозначения	2	3
481	имеет место	3	3
482	от земли	2	3
483	изображается как	5	3
484	с ней	7	3
485	такие же	4	3
486	в народе	2	3
487	из нее	2	3
488	священной истории	3	3
489	в первый	5	3
490	ее с	2	3
491	эти дни	5	3
492	и начало	2	3
493	что один	2	3
494	в прошлом	2	3
495	большое количество	2	3
496	сходство между	2	3
497	иное как	3	3
498	в силу	2	3
499	с элементами	2	3
500	или с	4	3
501	между собой	4	3
502	а с	6	3
503	и другими	3	3
504	они становятся	2	3
505	же значение	2	3
506	между двумя	2	3
507	на тех	2	3
508	по всей	4	3
509	за ним	3	3
510	из земли	3	3
511	время которого	2	3
512	или на	11	3
513	обряды и	3	3
514	том чтобы	3	3
515	этой цели	2	3
516	в другие	11	3
517	в уже	3	3
518	будто бы	10	3
