N	3gram	Vygotskiy_	Narrotol
1	в том что	30	18
2	в данном случае	5	17
3	по отношению к	11	11
4	в отличие от	3	11
5	о том что	10	9
6	в то же	2	8
7	той или иной	2	8
8	в этом отношении	6	8
9	то же время	2	8
10	не может быть	8	8
11	можно сказать что	5	6
12	и тем самым	4	6
13	с одной стороны	14	6
14	в известном смысле	3	6
15	состоит в том	4	6
16	на самом деле	3	5
17	подобно тому как	2	5
18	для того чтобы	19	5
19	в свою очередь	3	5
20	к тому что	3	4
21	во всяком случае	5	4
22	в конечном счете	4	4
23	то же самое	4	3
24	речь идет о	4	3
25	точно так же	2	3
26	в связи с	3	3
27	с точки зрения	34	3
28	как раз в	3	3
29	в самом деле	5	3
30	до сих пор	4	3
31	в зависимости от	8	3
32	на то что	9	3
33	дело в том	2	3
34	одно и то	2	2
35	как если бы	3	2
36	и то же	2	2
37	не только не	2	2
38	и потому что	2	2
39	а с другой	6	2
40	об этом в	2	2
41	по своей природе	3	2
42	можно было бы	6	2
43	так же как	6	2
