N	2gram	Losev_Vesc	StatiiOP
1	в и	4	145
2	и в	44	103
3	в том	15	89
4	том что	13	77
5	в этом	17	76
6	что в	11	74
7	не только	48	60
8	и т	37	51
9	о том	11	47
10	но и	19	46
11	то что	47	44
12	что он	7	42
13	в его	5	42
14	и не	57	41
15	может быть	37	38
16	т е	79	33
17	было бы	24	32
18	т д	36	32
19	в этой	4	31
20	вовсе не	11	31
21	все это	7	29
22	тем что	7	29
23	таким образом	16	28
24	а в	6	27
25	а не	34	27
26	но в	8	26
27	что это	18	25
28	так и	4	25
29	этом отношении	2	24
30	и его	4	24
31	все же	18	23
32	не в	14	23
33	так что	9	23
34	точки зрения	10	23
35	потому что	25	23
36	того что	16	22
37	прежде всего	17	22
38	для того	3	22
39	у нас	9	22
40	в которой	5	22
41	как в	3	22
42	того чтобы	4	21
43	и пр	10	21
44	это не	9	20
45	в то	11	19
46	в своей	6	19
47	только в	23	19
48	об этом	5	18
49	не может	44	18
50	с другой	8	18
51	в котором	4	18
52	он не	4	18
53	самом деле	7	17
54	между прочим	4	17
55	в россии	2	17
56	в данном	6	17
57	в самом	13	17
58	как бы	19	17
59	с этим	4	16
60	сказать что	21	16
61	в ней	14	16
62	можно было	6	16
63	если бы	8	16
64	в отношении	7	15
65	с тем	8	15
66	как и	15	15
67	для него	8	15
68	другой стороны	3	15
69	я не	7	15
70	также и	9	15
71	и на	2	15
72	у него	3	15
73	как раз	16	15
74	была бы	3	14
75	к тому	3	14
76	то же	12	14
77	но все	3	14
78	с точки	6	14
79	и что	22	14
80	в своем	9	13
81	в конце	3	13
82	со стороны	9	13
83	а с	3	13
84	тому что	2	13
85	но это	14	13
86	в качестве	4	13
87	в нем	6	13
88	во всяком	4	13
89	дело в	6	13
90	именно в	2	13
91	из них	7	13
92	всяком случае	2	13
93	в той	6	13
94	жизни и	6	13
95	вместе с	4	13
96	не менее	11	12
97	что они	12	12
98	так как	17	12
99	в первой	2	12
100	хотя бы	9	12
101	что у	5	12
102	ни в	11	12
103	в своих	3	12
104	никогда не	5	11
105	вопрос о	6	11
106	и с	11	11
107	в другом	3	11
108	все эти	5	11
109	из его	2	11
110	это было	2	11
111	на то	9	11
112	не было	4	11
113	ясно что	10	11
114	в каком	6	10
115	так же	4	10
116	в виду	2	10
117	в частности	3	10
118	на вопрос	2	10
119	ничего не	12	10
120	не столько	2	10
121	в целом	3	10
122	что и	11	10
123	в истории	3	10
124	во всех	5	10
125	кроме того	5	10
126	но не	9	10
127	что такое	20	10
128	же время	4	10
129	но он	2	10
130	в чем	10	9
131	что же	17	9
132	несмотря на	6	9
133	можно сказать	8	9
134	в одном	6	9
135	не является	3	9
136	с этой	6	9
137	и для	13	9
138	для нас	2	9
139	что мы	17	9
140	говорит о	3	9
141	что эта	2	9
142	и тем	7	9
143	и это	17	9
144	при помощи	4	8
145	отношение к	4	8
146	в их	4	8
147	той же	2	8
148	к этому	2	8
149	мы имеем	8	8
150	дело не	4	8
151	что она	23	8
152	в результате	9	8
153	тем не	11	8
154	и даже	12	8
155	но ведь	2	8
156	совершенно не	11	8
157	и о	4	8
158	заключается в	3	8
159	и более	4	8
160	не имеет	2	8
161	еще более	4	8
162	нужно сказать	2	8
163	данном случае	2	7
164	том как	4	7
165	о чем	2	7
166	уже в	2	7
167	в это	2	7
168	что здесь	2	7
169	конце концов	2	7
170	в виде	3	7
171	что все	2	7
172	гораздо более	2	7
173	того же	5	7
174	другое дело	2	7
175	точка зрения	5	7
176	во втором	2	7
177	а а	2	7
178	как это	4	7
179	тем более	3	7
180	в ее	8	7
181	при чем	2	7
182	не все	3	7
183	нет никакого	3	7
184	и то	14	7
185	то в	4	7
186	отличается от	8	7
187	мы находим	5	7
188	еще не	12	7
189	еще и	11	7
190	что для	5	7
191	по себе	22	7
192	из этого	3	7
193	то время	4	7
194	не просто	23	7
195	но с	2	7
196	на почве	6	7
197	не мог	3	7
198	о которых	2	6
