N	3gram	Vinokur_Ku	Russkaja
1	то же время	4	10
2	в то же	4	10
3	с точки зрения	16	9
4	в том что	23	7
5	для того чтобы	21	6
6	во всяком случае	8	6
7	на самом деле	3	6
8	до сих пор	5	5
9	на то что	3	4
10	в том случае	3	4
11	к тому чтобы	2	4
12	более или менее	3	4
13	не может быть	5	4
14	вместе с тем	3	3
15	в этом случае	4	3
16	в конце концов	3	3
17	том случае если	3	3
18	к вопросу о	3	3
19	можно было бы	11	3
20	к тому что	2	2
21	а следовательно и	2	2
22	точно так же	4	2
23	лишь в том	2	2
24	и в том	2	2
25	в том и	3	2
26	в большинстве случаев	2	2
27	за последнее время	2	2
28	того или иного	5	2
29	только в том	5	2
30	о том что	6	2
31	в настоящее время	2	2
32	котором идет речь	2	2
33	и в другом	2	2
34	о котором идет	3	2
