N	2gram	Medvedev_V	Vvedenie
1	и т	25	45
2	т е	18	40
3	т д	16	39
4	в том	15	38
5	в этом	29	35
6	и в	26	35
7	том что	8	30
8	может быть	23	30
9	не только	26	26
10	для того	3	23
11	того чтобы	3	22
12	таким образом	32	21
13	также и	2	20
14	не может	17	19
15	то что	7	19
16	о том	10	16
17	только в	8	16
18	в общем	2	14
19	и не	20	13
20	что в	11	13
21	в самом	4	13
22	в нем	7	13
23	в их	5	12
24	того что	3	12
25	что такое	2	12
26	точки зрения	3	12
27	в его	15	12
28	как на	3	12
29	то же	10	11
30	по себе	2	11
31	в ее	4	11
32	не в	6	10
33	прежде всего	13	10
34	но в	2	10
35	между тем	6	10
36	из этих	7	9
37	этого рода	2	9
38	и как	3	9
39	все же	6	9
40	но не	2	9
41	не менее	2	9
42	как об	2	9
43	это не	7	8
44	можно было	2	8
45	с другой	11	8
46	именно в	3	8
47	в качестве	12	8
48	сих пор	2	7
49	как и	7	7
50	как бы	5	7
51	в большей	2	7
52	этот вопрос	3	7
53	смысле слова	2	7
54	представить себе	2	7
55	но и	10	7
56	было бы	8	7
57	до сих	2	7
58	сказать что	5	6
59	его в	3	6
60	не могут	10	6
61	как например	2	6
62	том чтобы	2	6
63	хотя бы	20	6
64	об этом	9	6
65	и даже	2	6
66	работы над	5	6
67	как он	3	6
68	на вопрос	2	6
69	так например	2	6
70	с тем	4	6
71	каждой из	2	6
72	а в	3	6
73	в которых	3	6
74	могут быть	8	6
75	в то	6	6
76	один из	6	6
77	и его	6	6
78	все это	13	6
79	же время	5	6
80	вовсе не	3	6
81	вместе с	8	6
82	в виду	4	5
83	а как	2	5
84	одним из	5	5
85	что он	4	5
86	т п	9	5
87	на основании	8	5
88	в течение	2	5
89	что не	3	5
90	как это	12	5
91	в различных	2	5
92	другой стороны	8	5
93	в них	5	5
94	в целом	5	5
95	всяком случае	2	5
96	внимание на	2	5
97	что и	3	5
98	говорить о	2	5
99	а не	7	5
100	но с	2	5
101	хотя и	2	5
102	во всяком	2	5
103	да и	2	4
104	еще и	2	4
105	в результате	5	4
106	мы имеем	3	4
107	о чем	2	4
108	одной стороны	2	4
109	и ее	4	4
110	в области	2	4
111	этот процесс	3	4
112	по отношению	7	4
113	в каждом	2	4
114	только что	4	4
115	должен быть	4	4
116	от характера	2	4
117	связана с	2	4
118	в особенности	2	4
119	этом отношении	14	4
120	это только	4	4
121	как о	3	4
122	еще не	2	4
123	е в	2	4
124	по крайней	2	4
125	отношению к	7	4
126	в чем	2	4
127	с одной	2	4
128	заключается в	2	4
129	к тому	5	4
130	одной из	2	4
131	и для	2	4
132	только с	2	4
133	в котором	3	4
134	не вполне	2	4
135	даже и	3	4
136	тогда когда	2	4
137	в одном	5	4
138	из них	11	4
139	в себе	6	4
140	действительность в	2	4
141	и заключается	2	4
142	крайней мере	2	4
143	в своей	4	4
144	как раз	4	4
145	можно сказать	4	4
146	никогда не	5	3
147	одна из	4	3
148	или иной	2	3
149	до нас	2	3
150	в своем	8	3
151	с этим	3	3
152	том отношении	2	3
153	так же	3	3
154	например что	3	3
155	бы и	6	3
156	что она	2	3
157	к этому	9	3
158	в другом	2	3
159	в значительной	3	3
160	в конце	3	3
161	от того	2	3
162	если бы	3	3
163	зависимости от	5	3
164	при помощи	3	3
165	конечном итоге	2	3
166	понятно что	2	3
167	в силу	14	3
168	в частности	12	3
169	что даже	2	3
170	не с	2	3
171	мы видели	3	3
172	стороны и	2	3
173	зависит от	2	3
174	в известной	2	3
175	в ней	2	3
176	в конечном	7	3
177	и к	3	3
178	отношении что	2	3
179	вообще и	2	3
180	на этом	2	3
181	между ними	3	3
182	из которых	2	3
183	большей или	3	3
184	то это	2	3
185	этому поводу	7	3
186	по этому	10	3
187	или меньшей	3	3
188	же как	2	3
189	вот почему	5	3
190	говорит о	7	3
191	он сам	2	3
192	в зависимости	6	3
193	все эти	8	3
194	связи с	5	3
195	этой области	3	3
196	и есть	5	3
197	и сам	2	3
198	не следует	8	3
199	же самое	2	3
200	в этой	4	3
201	чем же	4	3
202	в слове	3	3
203	для которых	2	3
204	в работе	3	3
205	того как	2	3
206	у нас	3	2
207	образом по	2	2
208	и потому	2	2
209	во всех	7	2
210	обычно и	2	2
211	труда и	2	2
212	но как	3	2
213	другом месте	2	2
214	могут не	2	2
215	который по	2	2
216	при всей	2	2
217	должно быть	2	2
218	этой точки	2	2
219	бы в	3	2
220	в форме	3	2
221	а во-вторых	2	2
222	что оно	3	2
223	что нет	2	2
224	конце концов	2	2
225	единого и	2	2
226	в связи	4	2
227	это делает	3	2
228	подобно тому	3	2
229	том же	6	2
230	него в	3	2
231	имеет свою	3	2
232	у них	2	2
233	и при	5	2
234	после этого	2	2
235	так и	6	2
236	и др	10	2
237	после того	2	2
238	следует что	2	2
239	искусства и	2	2
240	ни с	2	2
241	тому что	7	2
242	на то	2	2
243	могло бы	2	2
244	в своих	2	2
245	ни одна	2	2
246	себе и	2	2
247	будто бы	2	2
248	произведения и	7	2
249	он и	2	2
250	то о	2	2
251	не столько	2	2
252	что мы	2	2
253	тому как	3	2
254	для них	2	2
255	жизни и	3	2
256	а затем	2	2
257	не было	7	2
258	познания и	4	2
259	следует понимать	5	2
260	по его	2	2
261	значительной мере	3	2
262	только о	2	2
263	что они	3	2
264	должна быть	2	2
265	так называемые	3	2
266	например в	3	2
267	них не	4	2
268	из его	4	2
269	по существу	4	2
