N	2gram	Losev_Vesc	Tragedij
1	и в	44	18
2	в этом	17	9
3	не только	48	8
4	и не	57	7
5	он сам	2	7
6	и на	2	7
7	как бы	19	7
8	и с	11	7
9	может быть	37	7
10	же время	4	6
11	что он	7	6
12	но в	8	6
13	и его	4	6
14	у него	3	6
15	несмотря на	6	5
16	что это	18	5
17	все же	18	5
18	это не	9	5
19	то же	12	5
20	как и	15	5
21	так и	4	5
22	не может	44	5
23	а я	3	5
24	в то	11	5
25	что в	11	4
26	еще не	12	4
27	в целом	3	4
28	но и	19	4
29	прежде всего	17	4
30	об этом	5	4
31	том что	13	4
32	в этой	4	4
33	и что	22	4
34	так же	4	4
35	и все	6	4
36	все это	7	4
37	в нем	6	4
38	что я	26	4
39	то что	47	4
40	но это	14	4
41	я не	7	4
42	и даже	12	4
43	в себе	23	4
44	один из	5	3
45	и как	12	3
46	уже в	2	3
47	тем самым	2	3
48	что образ	2	3
49	к нему	3	3
50	в своем	9	3
51	в его	5	3
52	все эти	5	3
53	мог бы	7	3
54	отнюдь не	8	3
55	о чем	2	3
56	с ее	10	3
57	и сам	3	3
58	как будто	2	3
59	должно быть	8	3
60	как в	3	3
61	как это	4	3
62	что вы	4	3
63	жизнь и	2	3
64	для него	8	3
65	то есть	2	3
66	в конце	3	3
67	с ним	8	3
68	никогда не	5	2
69	в самом	13	2
70	и то	14	2
71	но все	3	2
72	данном случае	2	2
73	с тем	8	2
74	ее к	2	2
75	одна из	6	2
76	тем что	7	2
77	перед нами	3	2
78	она должна	4	2
79	вопрос о	6	2
80	в одном	6	2
81	его в	8	2
82	не имеет	2	2
83	в виде	3	2
84	раз и	2	2
85	ничего не	12	2
86	то и	7	2
87	состоит из	3	2
88	в данном	6	2
89	как же	6	2
90	в ее	8	2
91	но эта	2	2
92	что все	2	2
93	к тому	3	2
94	говорит о	3	2
95	от всего	15	2
96	о том	11	2
97	что и	11	2
98	ни в	11	2
99	тут же	4	2
100	не в	14	2
101	и здесь	5	2
102	это уже	2	2
103	а что	2	2
104	потому что	25	2
105	было в	3	2
106	не просто	23	2
107	в частности	3	2
108	только о	2	2
109	так что	9	2
110	он не	4	2
111	и ее	19	2
112	ничем не	4	2
113	в первом	2	2
114	бы и	9	2
115	уже не	15	2
116	из самых	3	2
117	только к	2	2
118	что она	23	2
119	что эти	2	2
120	и это	17	2
121	знает что	2	2
122	на меня	3	2
123	но они	2	2
124	не так	2	2
125	в том	15	2
126	и до	6	2
127	не случайно	2	2
128	не был	2	2
129	не мог	3	2
130	он и	2	2
131	с его	2	2
132	в это	2	2
133	отношение к	4	2
