N	3gram	Losev_Prob	DiskursI
1	в том что	13	28
2	по отношению к	2	17
3	с одной стороны	5	14
4	не может быть	2	12
5	в данном случае	5	12
6	той или иной	4	10
7	о том что	14	9
8	в то же	2	8
9	в этом отношении	4	8
10	по крайней мере	8	6
11	с точки зрения	13	6
12	к тому же	5	6
13	в русской литературе	3	5
14	то же самое	2	5
15	и как бы	2	5
16	не только в	5	5
17	с другой стороны	7	5
18	дело в том	4	5
19	в свою очередь	2	5
20	и прежде всего	2	4
21	тем не менее	8	4
22	а с другой	3	4
23	можно сказать что	4	4
24	то есть в	5	3
25	и в частности	4	3
26	говоря уже о	2	3
27	в том числе	2	3
28	также и в	2	3
29	во всяком случае	6	3
30	как будто бы	3	3
31	того или иного	2	3
32	не говоря уже	2	3
33	то ни было	2	2
34	бы то ни	4	2
35	как и его	2	2
36	того же автора	2	2
37	далеко не всегда	3	2
38	а также и	3	2
39	но и в	2	2
40	все того же	2	2
41	с самого начала	3	2
42	в новое время	3	2
43	только в том	2	2
44	то что и	2	2
45	обратить внимание на	4	2
46	все же не	3	2
47	не то чтобы	2	2
48	и то что	3	2
49	в том чтобы	2	2
