N	2gram	Savitsky_P	SlovoVZh
1	не может	4	16
2	точки зрения	3	14
3	может быть	5	14
4	как бы	4	13
5	и в	14	12
6	и не	12	10
7	если бы	4	9
8	прежде всего	3	8
9	для нас	2	7
10	в том	9	6
11	в нем	3	6
12	только в	7	6
13	в ней	6	6
14	что мы	3	5
15	в жизни	2	5
16	но в	9	5
17	том что	4	5
18	то же	9	5
19	хотя бы	8	5
20	а не	2	5
21	то что	4	5
22	отнюдь не	2	5
23	в этом	10	4
24	не только	17	4
25	не в	5	4
26	с другой	5	4
27	и к	4	4
28	в них	2	3
29	по себе	4	3
30	да и	2	3
31	не к	2	3
32	сколько бы	2	3
33	в котором	4	3
34	мы не	3	3
35	в себе	3	3
36	все это	2	3
37	между тем	3	3
38	и с	2	3
39	точек зрения	2	3
40	не менее	2	3
41	отношении к	5	3
42	в пределах	8	3
43	и пр	5	3
44	того что	2	3
45	но и	6	3
46	в его	2	2
47	что в	4	2
48	стороны и	2	2
49	в отношении	10	2
50	это не	3	2
51	слова но	2	2
52	с точки	3	2
53	в своем	4	2
54	в то	7	2
55	одной стороны	3	2
56	как на	2	2
57	и потому	4	2
58	но не	3	2
59	могут быть	3	2
60	с одной	3	2
