N	2gram	Bakhtin_Pr	Hudozhes
1	то есть	64	26
2	в мире	10	24
3	и в	59	23
4	не только	26	20
5	в том	17	20
6	может быть	38	19
7	при этом	5	19
8	в частности	2	18
9	и не	66	16
10	но и	22	14
11	в рамках	2	13
12	а в	9	13
13	в себе	9	13
14	но не	13	13
15	а не	30	13
16	то же	15	12
17	в этом	40	12
18	и его	21	12
19	так и	13	12
20	как бы	40	11
21	точки зрения	36	11
22	в его	44	11
23	но в	7	10
24	по отношению	17	10
25	отношению к	17	10
26	не в	10	9
27	или иной	3	9
28	том что	15	9
29	не может	31	9
30	с другой	3	9
31	в искусстве	2	9
32	в то	15	8
33	себя в	5	8
34	в области	3	8
35	в самом	19	7
36	и т.п	8	7
37	отношение к	4	7
38	я и	2	7
39	лишь в	4	7
40	в своей	17	7
41	только в	15	7
42	же время	10	7
43	как это	2	7
44	что в	14	7
45	отличие от	3	7
46	в отличие	3	7
47	в основе	6	7
48	не столько	3	7
49	мы имеем	2	6
50	уже не	14	6
51	другой стороны	3	6
52	приводит к	4	6
53	в нем	38	6
54	с ее	5	6
55	можно сказать	3	6
56	в ее	4	6
57	художественного творчества	3	6
58	с его	14	6
59	тем самым	3	5
60	ни в	5	5
61	с другими	11	5
62	той или	3	5
63	могут быть	5	5
64	в художественном	5	5
65	между ними	4	5
66	и одновременно	5	5
67	место в	2	5
68	как к	3	5
69	для того	3	5
70	того чтобы	5	5
71	в виду	2	5
72	со стороны	6	5
73	в их	5	5
74	не является	2	5
75	героя и	11	5
76	что он	16	5
77	не на	6	5
78	то что	21	5
79	не менее	3	5
80	прежде всего	17	5
81	того что	4	5
82	для него	23	5
83	личности в	7	4
84	сказать что	9	4
85	в отношении	3	4
86	его в	6	4
87	далеко не	3	4
88	это не	13	4
89	для себя	5	4
90	а только	3	4
91	из которого	2	4
92	на почве	5	4
93	между тем	5	4
94	во времени	4	4
95	входит в	11	4
96	в данном	3	4
97	и т.д	2	4
98	в форме	8	4
99	не знает	5	4
100	однако в	2	4
101	порядка в	3	4
102	и как	10	4
103	еще не	11	4
104	и тем	2	4
105	и что	2	4
106	говорить о	3	4
107	сознания в	2	4
108	в этих	5	4
109	он не	11	4
110	и о	5	4
111	отношения к	4	4
112	например в	5	4
113	в себя	3	4
114	в своем	12	4
115	даже в	7	3
116	одного сознания	10	3
117	в художественной	4	3
118	от себя	2	3
119	в жизни	7	3
120	к нему	13	3
121	и для	5	3
122	и притом	3	3
123	в произведении	4	3
124	и ее	5	3
125	герой не	2	3
126	за пределами	2	3
127	внешнего мира	3	3
128	автора и	7	3
129	в романе	12	3
130	в точке	5	3
131	в контексте	2	3
132	как и	21	3
133	авторской позиции	8	3
134	их в	8	3
135	потому что	20	3
136	по преимуществу	3	3
137	слова в	4	3
138	в русской	3	3
139	в целом	8	3
140	в противоположность	3	3
141	имеем в	2	3
142	человеческой жизни	4	3
143	и к	5	3
144	во всех	8	3
145	одного и	2	3
146	а именно	4	3
147	из этих	2	3
148	и на	15	3
149	тому как	5	3
150	если бы	12	3
151	в той	9	3
152	и прежде	2	3
153	как раз	9	3
154	с точки	21	3
155	для автора	6	3
156	художественного мышления	2	3
157	подобно тому	5	3
158	или даже	2	3
159	себя и	4	3
160	таким образом	22	3
161	в таком	2	3
162	и сам	5	3
163	есть в	10	3
164	в которой	6	3
165	в момент	4	3
166	во всей	2	3
167	в рассказе	3	3
168	была бы	5	3
169	этом смысле	12	3
170	на языке	2	3
171	отношении к	3	3
172	в пределах	13	3
173	в одном	14	3
174	но он	3	3
175	никогда не	19	2
176	самим собою	3	2
177	о том	5	2
178	для понимания	5	2
179	в литературе	7	2
180	в каком	2	2
181	одна из	4	2
182	как в	10	2
183	для такого	2	2
184	не могли	3	2
185	одно из	2	2
186	не от	2	2
187	и это	5	2
188	ее в	2	2
189	тому что	3	2
190	автора как	3	2
191	и потому	9	2
192	свою жизнь	2	2
193	идет о	5	2
194	вследствие этого	2	2
195	в самой	10	2
196	в чем	2	2
197	или в	2	2
198	для меня	2	2
199	вступает в	5	2
200	именно в	8	2
201	художественного мира	5	2
202	жизни в	3	2
203	но как	4	2
204	к герою	6	2
205	все эти	12	2
206	тем более	2	2
207	времени в	2	2
208	о себе	12	2
209	человека и	2	2
210	мира и	8	2
211	не все	2	2
212	ни был	2	2
213	героя как	2	2
214	оно не	2	2
215	что она	6	2
216	с их	9	2
217	к чужому	2	2
218	за пределы	10	2
219	совпадает с	3	2
220	не входит	3	2
221	этой точки	3	2
222	не как	15	2
223	с самим	3	2
224	так же	10	2
225	во мне	2	2
226	из тех	3	2
227	отличается от	3	2
228	об этом	4	2
229	из которых	3	2
230	но на	2	2
231	и по	4	2
232	он и	9	2
233	я не	7	2
234	один из	4	2
235	на котором	3	2
236	в них	5	2
237	по себе	13	2
238	которая не	2	2
239	в пространстве	3	2
240	к более	2	2
241	сама по	3	2
242	несмотря на	7	2
243	собою в	2	2
244	на мир	10	2
245	роль в	2	2
246	тем или	2	2
247	это и	10	2
248	русской литературе	2	2
249	слова и	2	2
250	мира в	6	2
251	все это	12	2
252	к другому	2	2
253	с ними	3	2
254	бы не	3	2
255	позиция автора	5	2
256	что и	10	2
257	всей его	2	2
258	то ни	3	2
259	ни было	4	2
260	и особенно	2	2
261	одним из	11	2
262	и другие	4	2
263	нового времени	4	2
264	своей жизни	2	2
265	самом деле	9	2
266	и более	2	2
267	этого слова	3	2
268	в нашем	3	2
269	в этой	5	2
270	но только	3	2
271	а с	4	2
272	жизни а	2	2
273	с ним	13	2
274	что может	2	2
275	превращается в	4	2
276	который в	2	2
277	жизнь личности	2	2
278	в какой	2	2
279	вовсе не	13	2
280	заключается в	3	2
281	том и	2	2
282	у него	9	2
283	бы то	3	2
284	здесь не	2	2
