N	3gram	Bakhtin_Pr	Mirosoze
1	не может быть	8	28
2	в том что	6	9
3	в творчестве достоевского	5	8
4	у достоевского и	2	7
5	все творчество достоевского	2	7
6	о том что	3	6
7	и в нем	2	6
8	в братьях карамазовых	4	6
9	но и в	2	5
10	может быть и	2	5
11	до сих пор	8	5
12	в отношении к	2	5
13	по отношению к	5	4
14	на то что	2	4
15	в нем нет	3	4
16	можно было бы	2	4
17	как и в	4	3
18	по сравнению с	6	3
19	которая ведет к	2	2
20	и в конце	2	2
21	он не знает	2	2
22	как бы в	2	2
23	никогда не может	2	2
24	по своей природе	3	2
25	к настасье филипповне	2	2
26	бога и бессмертия	2	2
27	преступления и наказания	3	2
28	смысле этого слова	2	2
29	в романах достоевского	4	2
30	достоевского и в	2	2
31	том что все	2	2
32	века в эпоху	2	2
33	сне смешного человека	6	2
34	в сне смешного	6	2
35	хотя бы и	2	2
36	с самим собою	6	2
37	и не может	6	2
38	мы еще вернемся	4	2
39	и тот и	2	2
