N	2gram	Tiupa_Hudo	VLabPisa
1	таким образом	3	32
2	в этом	12	29
3	не только	20	26
4	и в	23	26
5	может быть	19	23
6	творческого воображения	3	21
7	и не	16	20
8	художественного творчества	6	19
9	не может	9	17
10	в том	20	15
11	в его	11	15
12	в силу	4	14
13	прежде всего	5	13
14	все это	2	13
15	в частности	18	12
16	как это	7	12
17	в качестве	31	12
18	что в	7	11
19	с другой	9	11
20	то же	12	10
21	но и	14	10
22	и др	2	10
23	о том	2	10
24	в художественном	5	10
25	об этом	2	9
26	для него	5	9
27	в своем	4	8
28	том что	9	8
29	не следует	4	8
30	говорит и	3	8
31	могут быть	5	8
32	другой стороны	6	8
33	все эти	2	8
34	только в	7	8
35	это не	4	7
36	из этих	3	7
37	во всех	3	7
38	по отношению	10	7
39	художественное произведение	3	7
40	в году	2	7
41	то что	5	7
42	отношению к	10	7
43	тому что	2	7
44	как и	3	7
45	их в	3	7
46	в нем	6	7
47	в конечном	5	7
48	а не	13	7
49	произведения как	3	6
50	не в	9	6
51	в то	8	6
52	в себе	13	6
53	художественного произведения	4	6
54	или менее	6	6
55	в порядке	2	6
56	это и	2	6
57	у него	2	6
58	в искусстве	9	6
59	так и	12	6
60	более или	6	6
61	приводит к	6	6
62	один из	2	6
63	и его	12	6
64	между тем	4	6
65	никогда не	2	5
66	даже в	3	5
67	сказать что	4	5
68	в одном	3	5
69	конечном счете	5	5
70	как говорит	3	5
71	в пределах	3	5
72	в их	5	5
73	не является	5	5
74	одним из	2	5
75	к тому	4	5
76	как бы	11	5
77	в них	2	5
78	в целом	3	5
79	связи с	3	5
80	же время	7	5
81	на основе	2	5
82	одна из	2	4
83	и ее	3	4
84	роль в	2	4
85	в виду	5	4
86	ее в	2	4
87	что он	5	4
88	в романе	3	4
89	должен быть	2	4
90	отнюдь не	2	4
91	в самом	7	4
92	как раз	3	4
93	в ее	6	4
94	с ними	2	4
95	в своей	7	4
96	в связи	3	4
97	можно сказать	6	4
98	в этой	2	4
99	с его	6	4
100	например в	4	3
101	говорит в	2	3
102	и к	3	3
103	мы имеем	6	3
104	так же	2	3
105	но как	2	3
106	вслед за	2	3
107	в форме	4	3
108	в значительной	2	3
109	его в	4	3
110	и как	4	3
111	тому как	3	3
112	если бы	3	3
113	подобно тому	3	3
114	для того	5	3
115	говоря иначе	2	3
116	при всем	2	3
117	того что	5	3
118	далеко не	4	3
119	а в	13	3
120	всего лишь	6	3
121	в творческом	2	3
122	именно в	2	3
123	точки зрения	11	3
124	мира и	2	3
125	между ними	5	3
126	человека и	2	3
127	того чтобы	5	3
128	что и	2	3
129	сводится к	11	3
130	и по	2	3
131	или в	2	3
132	в слове	4	3
133	вовсе не	2	3
134	в противоположность	3	3
135	чтобы не	2	2
136	на время	2	2
137	в воображении	4	2
138	или иной	9	2
139	и потому	2	2
140	того или	4	2
141	еще и	2	2
142	слова не	2	2
143	с другими	5	2
144	о чем	3	2
145	одной стороны	3	2
146	автора как	2	2
147	при всей	2	2
148	что она	2	2
149	начиная с	2	2
150	отличается от	2	2
151	в другом	4	2
152	которая не	2	2
153	в стихотворении	3	2
154	бы не	2	2
155	не всегда	2	2
156	в области	8	2
157	еще не	4	2
158	в которой	3	2
159	а для	2	2
160	в чем	2	2
161	с одной	3	2
162	заключается в	2	2
163	не с	2	2
164	одной из	2	2
165	в жизни	3	2
166	но не	13	2
167	и для	3	2
168	искусства и	3	2
169	не менее	5	2
170	но в	10	2
171	что такое	2	2
172	даже самая	2	2
173	не вполне	2	2
174	к его	3	2
175	этой точки	2	2
176	на этом	2	2
177	из которых	2	2
178	художественной деятельности	17	2
179	он и	2	2
180	не столько	7	2
181	по себе	2	2
182	и некоторые	2	2
183	а затем	2	2
184	о его	2	2
185	числе и	2	2
186	в противном	2	2
187	говорить о	4	2
188	и может	2	2
189	только о	2	2
190	он не	4	2
191	и сам	3	2
192	во всей	3	2
193	анны карениной	2	2
194	который в	2	2
195	хотя и	4	2
196	лишь в	7	2
197	том числе	3	2
198	как способность	2	2
199	противном случае	2	2
200	в системе	3	2
