N	3gram	Potebnia_M	EvropaiC
1	в том что	18	16
2	до сих пор	5	15
3	по отношению к	13	11
4	более или менее	6	8
5	а между тем	5	8
6	с точки зрения	3	8
7	на самом деле	2	7
8	для того чтобы	4	7
9	на то что	3	7
10	что касается до	2	6
11	друг от друга	3	6
12	тем не менее	10	4
13	с другой стороны	7	4
14	не может быть	11	4
15	бы то ни	2	3
16	и того же	6	3
17	не в состоянии	2	3
18	одного и того	6	3
19	таким образом в	3	3
20	в связи с	2	3
21	с одной стороны	6	2
22	заключает в себе	6	2
23	во всяком случае	7	2
24	и в том	3	2
25	в том и	2	2
26	но все же	2	2
27	в то время	3	2
28	то же время	3	2
29	как и в	3	2
30	в то же	3	2
31	не более как	3	2
32	о которой мы	2	2
33	и может быть	4	2
34	в свою очередь	8	2
35	друг на друга	2	2
