N	2gram	Vinokur_St	VLabPisa
1	таким образом	16	32
2	в этом	37	29
3	не только	36	26
4	и в	61	26
5	и т	36	25
6	может быть	16	23
7	хотя бы	8	20
8	и не	23	20
9	т е	21	18
10	в процессе	3	17
11	не может	10	17
12	т д	25	16
13	в письме	5	16
14	в том	56	15
15	в его	19	15
16	этом отношении	13	14
17	прежде всего	11	13
18	все это	13	13
19	вот что	3	12
20	в частности	6	12
21	письме к	7	12
22	как это	6	12
23	в качестве	7	12
24	представляет собою	3	11
25	что в	41	11
26	с другой	11	11
27	из них	11	11
28	то же	7	10
29	не могут	2	10
30	но и	28	10
31	о том	30	10
32	по этому	5	10
33	к этому	4	9
34	об этом	9	9
35	т п	11	9
36	для него	10	9
37	в своем	8	8
38	том что	49	8
39	по словам	7	8
40	на основании	2	8
41	ни один	2	8
42	могут быть	5	8
43	другой стороны	9	8
44	все эти	7	8
45	было бы	21	8
46	только в	11	8
47	вместе с	5	8
48	это не	8	7
49	из этих	7	7
50	во всех	8	7
51	по отношению	3	7
52	в году	3	7
53	то что	27	7
54	отношению к	3	7
55	тому что	8	7
56	как и	11	7
57	их в	2	7
58	в нем	9	7
59	этому поводу	4	7
60	произведения в	2	7
61	не было	7	7
62	говорит о	5	7
63	а не	19	7
64	не в	15	6
65	в то	10	6
66	в себе	3	6
67	или менее	2	6
68	это и	5	6
69	все же	12	6
70	том же	3	6
71	у него	3	6
72	так и	15	6
73	более или	2	6
74	в зависимости	2	6
75	и его	11	6
76	бы и	4	6
77	между тем	7	6
78	никогда не	7	5
79	даже в	5	5
80	сказать что	9	5
81	в одном	7	5
82	в результате	5	5
83	как говорит	3	5
84	зависимости от	2	5
85	работы над	5	5
86	в их	3	5
87	не является	5	5
88	одним из	2	5
89	к тому	9	5
90	как бы	8	5
91	в них	2	5
92	в целом	5	5
93	связи с	3	5
94	же время	5	5
95	по поводу	13	4
96	в сознании	2	4
97	одном из	4	4
98	в виду	6	4
99	в статье	9	4
100	ее в	2	4
101	что он	23	4
102	в романе	4	4
103	по существу	3	4
104	с тем	3	4
105	что все	3	4
106	что для	4	4
107	должен быть	3	4
108	их и	2	4
109	в самом	14	4
110	как раз	10	4
111	в ее	6	4
112	в своей	12	4
113	является не	4	4
114	во время	5	4
115	можно сказать	2	4
116	в этой	13	4
117	из его	3	4
118	пишет в	2	4
119	с его	3	4
120	и от	2	3
121	например в	8	3
122	при помощи	4	3
123	говорит в	3	3
124	и к	5	3
125	с этим	6	3
126	мы имеем	2	3
127	так же	7	3
128	и он	2	3
129	том как	4	3
130	образом не	2	3
131	всех этих	2	3
132	бы в	2	3
133	в форме	2	3
134	в значительной	2	3
135	в конце	5	3
136	его в	4	3
137	и как	2	3
138	если бы	11	3
139	как он	3	3
140	как о	2	3
141	для того	15	3
142	и их	3	3
143	у нас	12	3
144	как на	10	3
145	его не	3	3
146	того что	14	3
147	п в	4	3
148	этот вопрос	6	3
149	что у	8	3
150	она не	3	3
151	а в	18	3
152	в котором	11	3
153	именно в	8	3
154	точки зрения	16	3
155	даже и	2	3
156	в которых	5	3
157	что оно	4	3
158	естественно что	2	3
159	что не	3	3
160	жизни и	6	3
161	того чтобы	15	3
162	что и	8	3
163	пушкин в	4	3
164	и по	6	3
165	этой области	5	3
166	что они	9	3
167	же и	4	3
168	в слове	5	3
169	вовсе не	24	3
170	писал в	2	3
171	не о	2	2
172	из писем	3	2
173	если в	2	2
174	от его	2	2
175	да и	4	2
176	я бы	2	2
177	иметь в	2	2
178	в стихах	2	2
179	на эти	7	2
180	на это	2	2
181	и потому	3	2
182	того или	4	2
183	не подлежит	2	2
184	как например	2	2
185	которые в	2	2
186	никаких оснований	2	2
187	еще и	5	2
188	только у	2	2
189	отношении что	2	2
190	то это	3	2
191	другом месте	2	2
