N	3gram	Voloshinov	Formalny
1	с точки зрения	2	40
2	не может быть	7	29
3	на самом деле	2	21
4	в настоящее время	2	13
5	по отношению к	11	12
6	бы то ни	3	10
7	в зависимости от	2	10
8	и не может	3	9
9	с другой стороны	2	9
10	до сих пор	3	8
11	с одной стороны	2	8
12	то ни было	3	7
13	может быть и	3	6
14	в данном случае	2	6
15	в художественном произведении	3	6
16	в том что	4	6
17	до известной степени	2	5
18	одной стороны и	2	5
19	и не в	3	4
20	тем не менее	3	4
21	то же самое	2	3
22	только в процессе	2	3
23	в такой же	2	2
24	справедливо и для	2	2
25	ни на один	2	2
26	это не так	2	2
27	но отнюдь не	2	2
28	в отношении к	2	2
29	этой точки зрения	3	2
30	художественного произведения и	2	2
31	как если бы	4	2
32	формы и содержания	2	2
33	в жизни и	2	2
34	дело в том	4	2
35	имеем в виду	2	2
