N	3gram	Trubetskoy	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	2	7
3	с точки зрения	8	6
4	во всяком случае	2	6
5	для того чтобы	7	5
6	до сих пор	15	5
7	друг с другом	9	5
8	а с другой	2	5
9	более или менее	8	5
10	но все же	2	4
11	к тому же	5	4
12	о том что	4	4
13	с течением времени	4	3
14	в конце концов	4	3
15	так же как	3	3
16	так или иначе	5	3
17	тем не менее	4	3
18	в том что	16	3
19	в связи с	3	3
20	то ни было	3	2
21	бы то ни	3	2
22	первое время после	2	2
23	ничего общего с	2	2
24	на то что	7	2
25	но вместе с	2	2
26	между этими двумя	2	2
27	заключает в себе	2	2
28	как бы то	2	2
29	таким образом в	3	2
30	в то же	2	2
31	в том виде	2	2
32	может быть и	4	2
33	то ясно что	4	2
34	то же время	2	2
35	друг на друга	2	2
36	по сравнению с	5	2
