N	2gram	Trubetskoy	EvropaiE
1	и в	14	37
2	точки зрения	11	23
3	что в	4	21
4	не только	9	18
5	с точки	9	17
6	в то	10	16
7	отношении к	2	15
8	хотя бы	5	15
9	то же	11	15
10	в своем	6	14
11	но в	2	14
12	но и	10	14
13	и не	19	14
14	же время	10	14
15	в качестве	3	14
16	в этом	17	12
17	в том	17	11
18	в их	4	11
19	в области	2	11
20	так же	2	9
21	не может	22	9
22	отнюдь не	7	9
23	в себе	9	9
24	прежде всего	8	9
25	только в	5	9
26	между тем	5	8
27	было бы	5	8
28	в своей	5	8
29	к тому	7	8
30	как и	4	7
31	так как	4	7
32	того что	3	7
33	том что	9	6
34	в последние	5	6
35	во всех	5	6
36	и даже	2	6
37	может быть	9	6
38	и на	5	6
39	того чтобы	8	6
40	для того	6	6
41	на то	5	6
42	то что	13	6
43	как бы	4	6
44	но не	4	5
45	тем самым	2	5
46	и по	3	5
47	и потому	3	5
48	в россии	6	5
49	но если	3	5
50	со стороны	4	5
51	не в	4	5
52	в виде	3	5
53	в частности	2	5
54	в течение	2	5
55	одной из	3	5
56	вопрос о	5	4
57	или иного	2	4
58	или иной	5	4
59	во многих	2	4
60	то в	3	4
61	культуры в	3	4
62	именно в	3	4
63	в самом	3	4
64	культурной жизни	2	4
65	но даже	2	4
66	европейской цивилизации	2	4
67	в ней	2	4
68	для нас	2	4
69	по себе	2	4
70	россии в	7	4
71	несмотря на	3	4
72	романо-германцев и	4	4
73	той или	3	4
74	то ни	4	4
75	того или	2	4
76	бы то	4	4
77	никогда не	5	3
78	с тем	6	3
79	и от	2	3
80	и для	6	3
81	и только	5	3
82	в культурном	2	3
83	из всех	2	3
84	европейской культуры	2	3
85	о том	7	3
86	ли это	4	3
87	в данном	7	3
88	время в	2	3
89	в будущем	3	3
90	можно было	4	3
91	бы ни	2	3
92	и к	6	3
93	в результате	2	3
94	мы можем	2	3
95	не будет	7	3
96	из них	3	3
97	данного народа	5	3
98	россии к	2	3
99	можно ли	3	3
100	всяком случае	6	3
101	место в	2	3
102	на себя	2	3
103	что и	3	3
104	друг с	14	3
105	отметить что	2	3
106	и тем	2	3
107	тем что	3	3
108	жизни в	5	3
109	потому что	5	3
110	в таком	2	3
111	народов и	2	3
112	с другом	14	3
113	как на	8	3
114	большинстве случаев	2	3
115	ее в	2	3
116	во всяком	9	3
117	россии и	3	3
118	данном случае	3	2
119	и если	7	2
120	в мире	4	2
121	если в	6	2
122	в его	4	2
123	не есть	3	2
124	и этот	3	2
125	что это	3	2
126	и то	4	2
127	совершенно очевидно	2	2
128	к нему	2	2
129	не могут	4	2
130	помнить что	2	2
131	она не	2	2
132	а в	5	2
133	участие в	2	2
134	с этим	2	2
135	мы должны	7	2
136	и сейчас	3	2
137	в котором	2	2
138	тому чтобы	4	2
139	в своих	6	2
140	от друга	2	2
141	только к	3	2
142	в большинстве	3	2
143	и с	7	2
144	этот вопрос	2	2
145	то которое	2	2
146	что все	3	2
147	в значительной	3	2
148	тогда когда	4	2
149	и как	3	2
150	в порядке	2	2
151	не можем	2	2
152	этой культуры	2	2
153	что же	4	2
154	целый ряд	2	2
155	россию в	3	2
156	если бы	6	2
157	для них	3	2
158	в этих	2	2
159	жизни и	4	2
160	в силу	2	2
161	в других	2	2
162	а не	2	2
163	культуры с	2	2
164	и что	2	2
165	и во	3	2
166	и наконец	2	2
167	культуру в	2	2
168	или в	3	2
169	друг от	2	2
170	таким образом	11	2
171	он не	5	2
172	как будто	2	2
173	на основании	2	2
174	главным образом	3	2
175	не к	2	2
176	в этой	4	2
177	в некоторых	2	2
178	между собой	5	2
179	должна быть	2	2
180	к той	2	2
181	вместе с	4	2
182	он сам	3	2
183	будет ли	2	2
184	и более	2	2
185	при условии	3	2
186	культуры и	2	2
