N	3gram	Bakhtin_Pr	Literetu
1	в то же	8	21
2	то же время	8	21
3	в том что	6	21
4	по отношению к	5	12
5	не может быть	8	11
6	о том что	3	10
7	с точки зрения	13	8
8	с другой стороны	3	7
9	в том числе	15	6
10	тем не менее	2	5
11	в соответствии с	2	5
12	и прежде всего	5	4
13	той или иной	2	3
14	по крайней мере	2	3
15	и наконец в	2	3
16	на то что	2	3
17	к себе самому	6	3
18	том числе и	13	3
19	в отношении к	2	2
20	в свое время	4	2
21	в xix веке	3	2
22	но и в	2	2
23	можно было бы	2	2
24	дело в том	3	2
25	то есть от	2	2
26	тех или иных	2	2
