N	2gram	Vygotskiy_	NovoeSre
1	а не	16	17
2	и в	55	16
3	не может	15	16
4	совсем не	3	12
5	и не	19	11
6	и есть	7	10
7	что в	43	9
8	жизни и	8	8
9	в том	50	8
10	он не	10	8
11	не будет	3	7
12	может быть	34	7
13	как и	9	7
14	в этом	30	7
15	это есть	3	7
16	никогда не	15	6
17	ни в	5	6
18	не в	12	6
19	не знает	2	6
20	но это	2	6
21	с его	6	6
22	не только	24	5
23	в жизни	2	5
24	должен быть	3	5
25	все это	8	5
26	в нем	13	5
27	в ней	5	5
28	и к	5	5
29	должно быть	6	4
30	в них	7	4
31	и для	13	4
32	не имеет	2	4
33	прежде всего	6	4
34	не было	2	4
35	и потому	8	4
36	и мы	28	4
37	то что	69	4
38	о том	24	4
39	это не	9	4
40	потому что	48	4
41	и все	15	4
42	смысле слова	2	3
43	тому как	3	3
44	но и	16	3
45	к жизни	2	3
46	с другой	12	3
47	в ее	3	3
48	к тому	12	3
49	что такое	2	3
50	в своей	8	3
51	еще не	6	3
52	должна быть	2	3
53	как в	4	3
54	конечно не	3	3
55	не есть	4	3
56	сказать что	14	3
57	во всех	6	3
58	вопрос о	6	3
59	это было	4	3
60	не существует	3	3
61	в основе	9	3
62	с тем	10	3
63	время как	5	2
64	в себе	13	2
65	что она	10	2
66	как будто	7	2
67	все они	2	2
68	и с	3	2
69	одна из	6	2
70	том чтобы	7	2
71	формы и	4	2
72	для этого	12	2
73	себя в	4	2
74	но не	9	2
75	нет и	2	2
76	что все	12	2
77	думать что	3	2
78	и от	2	2
79	не могли	4	2
80	того чтобы	43	2
81	заключается что	2	2
82	и это	13	2
83	хотя бы	5	2
84	и заключается	6	2
85	когда мы	10	2
86	же как	4	2
87	а в	7	2
88	все время	44	2
89	но в	7	2
90	том что	46	2
91	и на	12	2
92	с этим	4	2
93	и что	45	2
94	ли это	3	2
95	все эти	5	2
96	мы не	8	2
97	на протяжении	2	2
98	и было	2	2
99	стремление к	2	2
100	можно было	6	2
101	это и	7	2
102	связаны с	2	2
103	ни одна	2	2
104	у него	9	2
105	времени и	5	2
106	равно как	2	2
107	по существу	4	2
108	для чего	4	2
109	как это	16	2
110	другой стороны	8	2
111	так же	19	2
112	так и	6	2
113	нем нет	3	2
114	могут быть	8	2
115	одной стороны	15	2
116	такой же	2	2
117	но она	3	2
118	в то	6	2
119	не могла	2	2
120	должно было	2	2
121	этом смысле	4	2
122	с одной	15	2
123	том и	3	2
124	и даже	4	2
125	в центре	2	2
126	вместе с	16	2
