N	3gram	Bakhtin_Fr	Mirosoze
1	не может быть	2	28
2	в том что	2	9
3	это и есть	2	9
4	для того чтобы	5	7
5	о том что	3	6
6	но и в	4	5
7	может быть и	2	5
8	до сих пор	6	5
9	по отношению к	2	4
10	в конце концов	3	4
11	его отношение к	2	4
12	можно было бы	2	4
13	во всяком случае	2	3
14	в значительной степени	2	3
15	и не было	2	3
16	одной и той	2	3
17	как и в	2	3
18	как и все	5	3
19	и той же	2	3
20	он остается в	2	3
21	на протяжении всего	2	3
22	по сравнению с	2	3
23	есть и в	2	2
24	смысле этого слова	2	2
25	в своей книге	3	2
26	подобно тому как	2	2
27	в этом отношении	4	2
28	не только в	3	2
29	мы еще вернемся	5	2
