N	2gram	Nazirov_Tv	Otkroven
1	у него	11	22
2	у достоевского	51	19
3	и в	40	19
4	но и	10	13
5	и не	12	13
6	в этом	11	12
7	не только	16	11
8	человека в	9	11
9	не в	3	11
10	из подполья	19	11
11	а не	9	11
12	может быть	11	11
13	и все	6	10
14	человека и	6	10
15	в нем	4	10
16	никогда не	13	9
17	к человеку	3	9
18	потому что	10	9
19	в человеке	4	9
20	не было	3	9
21	прежде всего	10	9
22	и он	4	8
23	он был	2	8
24	ивана карамазова	7	7
25	в его	19	7
26	достоевского он	2	7
27	до конца	2	7
28	от него	2	7
29	он не	10	7
30	он всегда	2	7
31	но он	3	7
32	как и	16	6
33	о великом	3	6
34	человеческой личности	5	6
35	великом инквизиторе	3	6
36	все это	14	6
37	человеческой души	3	6
38	записок из	4	5
39	для него	9	5
40	для достоевского	5	5
41	а в	10	5
42	в россии	5	5
43	в том	13	5
44	него в	2	5
45	в творчестве	10	5
46	достоевского и	5	5
47	в самом	6	5
48	то что	9	5
49	в этой	7	5
50	и его	14	4
51	достоевский не	7	4
52	что в	17	4
53	он сам	8	4
54	в романах	25	4
55	достоевского не	12	4
56	в идиоте	4	4
57	все эти	3	4
58	на земле	4	4
59	герои достоевского	8	4
60	человек и	2	4
61	человеческих отношений	3	4
62	не может	9	4
63	в преступлении	12	4
64	что не	5	4
65	достоевского есть	2	4
66	с его	12	4
67	в себе	3	3
68	и от	8	3
69	о том	9	3
70	романах достоевского	26	3
71	человека его	2	3
72	записки из	8	3
73	это не	9	3
74	не могут	2	3
75	что он	11	3
76	самого достоевского	4	3
77	записках из	6	3
78	и вот	2	3
79	было бы	2	3
80	достоевского в	19	3
81	и наказании	10	3
82	во имя	3	3
83	еще не	5	3
84	и есть	2	3
85	в этих	2	3
86	в своих	8	3
87	в русской	5	3
88	когда он	4	3
89	в записках	7	3
90	в бесах	8	3
91	как бы	26	3
92	хотя бы	5	3
93	более всего	2	3
94	могут быть	4	3
95	с ним	4	3
96	быть может	3	3
97	мысли и	5	3
98	преступлении и	10	3
99	того что	3	3
100	что человек	3	3
101	как к	2	2
102	достоевского к	5	2
103	сказать что	3	2
104	и на	12	2
105	этом он	2	2
106	что достоевский	10	2
107	героев достоевского	7	2
108	уже в	5	2
109	достоевского с	12	2
110	мысль о	3	2
111	творчество достоевского	6	2
112	что все	4	2
113	человека к	2	2
114	не имеет	2	2
115	не могли	2	2
116	ничего не	3	2
117	дневнике писателя	2	2
118	и с	9	2
119	что и	3	2
120	ее в	3	2
121	в дневнике	3	2
122	образ человека	2	2
123	и потому	4	2
124	в ее	3	2
125	произведений достоевского	2	2
126	в своем	4	2
127	тем что	2	2
128	но в	11	2
129	том что	14	2
130	для человека	3	2
131	что для	3	2
132	все же	9	2
133	о которой	2	2
134	жизни в	9	2
135	в своей	8	2
136	так как	6	2
137	достоевского нет	3	2
138	по себе	2	2
139	что у	5	2
140	должен был	2	2
141	что они	3	2
142	в истории	2	2
143	так что	4	2
144	легенда о	4	2
145	не все	2	2
146	иван карамазов	9	2
147	и о	2	2
148	не есть	2	2
149	в душе	4	2
150	мертвого дома	2	2
151	свободы и	2	2
152	к этому	4	2
153	так и	5	2
154	иваном карамазовым	2	2
155	достоевского но	2	2
156	романов достоевского	8	2
157	в которой	5	2
158	личности и	2	2
159	к ней	3	2
160	хотя и	5	2
161	в этот	3	2
162	и против	2	2
163	его в	2	2
