N	2gram	Kanaev_Sov	NovoeSre
1	а не	3	17
2	и в	7	16
3	не может	17	16
4	и не	6	11
5	и есть	2	10
6	что в	2	9
7	жизни и	4	8
8	в том	4	8
9	может быть	12	7
10	как и	6	7
11	в этом	7	7
12	не в	3	6
13	не только	4	5
14	все это	3	5
15	в нем	3	5
16	и к	3	5
17	прежде всего	5	4
18	не менее	2	4
19	и потому	3	4
20	и мы	3	4
21	это не	4	4
22	и все	3	4
23	и пр	2	3
24	что такое	2	3
25	еще не	3	3
26	вопрос о	4	3
27	в себе	3	2
28	что она	3	2
29	одна из	3	2
30	нет и	4	2
31	что все	2	2
32	роль в	2	2
33	когда мы	3	2
34	а в	4	2
35	но в	3	2
36	можно назвать	2	2
37	с этим	2	2
38	и что	2	2
39	все эти	5	2
40	мы не	9	2
41	ни одна	2	2
42	у него	2	2
43	времени и	2	2
44	уже не	2	2
45	такого рода	2	2
46	могут быть	2	2
47	такой же	2	2
48	с одной	2	2
49	и даже	2	2
50	вместе с	4	2
