N	2gram	Savitsky_E	NovoeSre
1	а не	2	17
2	и в	37	16
3	не может	9	16
4	и не	14	11
5	что в	21	9
6	жизни и	2	8
7	как не	2	8
8	в том	11	8
9	он не	2	8
10	не будет	3	7
11	может быть	6	7
12	как и	7	7
13	в этом	12	7
14	культуры и	2	7
15	никогда не	3	6
16	не в	5	6
17	не только	18	5
18	в ней	4	5
19	и к	3	5
20	культуры в	4	5
21	по своему	7	4
22	в них	3	4
23	и для	3	4
24	не имеет	4	4
25	прежде всего	9	4
26	и потому	5	4
27	и мы	3	4
28	то что	6	4
29	о том	3	4
30	потому что	3	4
31	и все	2	4
32	в мире	2	3
33	в прошлом	3	3
34	но и	14	3
35	с другой	7	3
36	в ее	8	3
37	она не	2	3
38	к тому	8	3
39	в россии	5	3
40	жизни в	3	3
41	в своей	8	3
42	к ним	3	3
43	в истории	2	3
44	должна быть	2	3
45	как в	3	3
46	не есть	2	3
47	сказать что	4	3
48	во всех	6	3
49	вопрос о	4	3
50	наряду с	2	3
51	не означает	2	3
52	с тем	3	3
53	в себе	9	2
54	как будто	2	2
55	и с	2	2
56	но не	5	2
57	что все	2	2
58	думать что	8	2
59	и от	3	2
60	и революции	2	2
61	войны и	2	2
62	того чтобы	6	2
63	хотя бы	15	2
64	же как	5	2
65	а в	2	2
66	но в	14	2
67	том что	6	2
68	не к	2	2
69	и на	6	2
70	с этим	2	2
71	есть в	2	2
72	и что	2	2
73	ли это	3	2
74	в будущем	3	2
75	мы не	4	2
76	на путях	4	2
77	в смысле	9	2
78	можно было	3	2
79	в свои	2	2
80	мира и	3	2
81	на уровне	2	2
82	как это	4	2
83	другой стороны	2	2
84	так же	9	2
85	так и	10	2
86	помнить что	2	2
87	могут быть	2	2
88	одной стороны	8	2
89	такой же	2	2
90	в то	16	2
91	хотя и	2	2
92	и творчества	2	2
93	этом смысле	3	2
94	с одной	8	2
95	духовной жизни	2	2
96	место в	3	2
97	и даже	6	2
98	ведь и	2	2
99	хозяйственной жизни	4	2
100	вместе с	2	2
