N	2gram	Tiupa_Anal	Vvedenie
1	т е	2	40
2	в том	16	38
3	в этом	19	35
4	и в	36	35
5	том что	19	30
6	может быть	19	30
7	не только	40	26
8	таким образом	4	21
9	не может	3	19
10	то что	5	19
11	со стороны	12	16
12	о том	9	16
13	только в	9	16
14	в общем	4	14
15	представляет собой	7	14
16	и не	14	13
17	что в	15	13
18	в самом	7	13
19	в нем	3	13
20	в их	7	12
21	того что	4	12
22	точки зрения	3	12
23	в его	12	12
24	в данном	12	11
25	то же	7	11
26	по себе	6	11
27	в ее	5	11
28	как мы	4	11
29	не в	9	10
30	прежде всего	7	10
31	но в	8	10
32	в той	3	10
33	между тем	8	10
34	из этих	4	9
35	тем не	3	9
36	и как	5	9
37	все же	6	9
38	но не	13	9
39	не менее	9	9
40	дело с	3	9
41	это не	4	8
42	можно было	2	8
43	о котором	2	8
44	с другой	10	8
45	именно в	4	8
46	в качестве	22	8
47	и то	2	7
48	самом деле	2	7
49	как и	27	7
50	как бы	14	7
51	но и	26	7
52	было бы	6	7
53	сказать что	2	6
54	его в	4	6
55	не могут	2	6
56	том чтобы	2	6
57	об этом	3	6
58	и даже	12	6
59	тем что	3	6
60	мере в	2	6
61	с тем	2	6
62	а в	17	6
63	уже не	9	6
64	могут быть	4	6
65	в то	8	6
66	один из	6	6
67	и что	2	6
68	и его	18	6
69	все это	5	6
70	же время	7	6
71	вовсе не	2	6
72	вместе с	3	6
73	данном случае	11	5
74	дело в	3	5
75	с их	3	5
76	дело не	3	5
77	и т.д	3	5
78	и тем	3	5
79	что он	5	5
80	так что	2	5
81	что не	3	5
82	по своему	3	5
83	одно из	3	5
84	как уже	4	5
85	как это	7	5
86	на почве	3	5
87	есть не	2	5
88	не есть	6	5
89	другой стороны	7	5
90	в них	4	5
91	уже в	5	5
92	в целом	8	5
93	всяком случае	6	5
94	внимание на	4	5
95	что и	10	5
96	говорить о	6	5
97	а не	16	5
98	в первом	2	5
99	но с	3	5
100	хотя и	4	5
101	во всяком	6	5
102	да и	3	4
103	еще и	4	4
104	должен был	2	4
105	в результате	6	4
106	мы имеем	5	4
107	о чем	5	4
108	одной стороны	3	4
109	и ее	3	4
110	по отношению	9	4
111	в каждом	4	4
112	в особенности	4	4
113	этом отношении	3	4
114	как о	3	4
115	еще не	7	4
116	по крайней	5	4
117	отношению к	9	4
118	в чем	2	4
119	отличие от	5	4
120	в отличие	5	4
121	с одной	3	4
122	к тому	10	4
123	одной из	6	4
124	и для	4	4
125	из наиболее	3	4
126	так или	5	4
127	в тексте	16	4
128	ответ на	3	4
129	в одном	4	4
130	из них	4	4
131	или иначе	5	4
132	в себе	7	4
133	с точки	2	4
134	крайней мере	5	4
135	в своей	12	4
136	как раз	8	4
137	можно сказать	5	4
138	той же	7	4
139	однако не	2	4
140	никогда не	7	3
141	одна из	6	3
142	в отношении	2	3
143	свое время	4	3
144	только по	2	3
145	или иной	9	3
146	известном смысле	2	3
147	в своем	7	3
148	и той	2	3
149	а также	5	3
150	с этим	4	3
151	в начале	10	3
152	но дело	2	3
