N	3gram	Losev_Dial	Myshleni
1	в том что	12	133
2	с точки зрения	25	89
3	с одной стороны	3	39
4	так же как	2	39
5	в этом отношении	2	30
6	с другой стороны	3	26
7	о том что	6	25
8	на то что	3	25
9	не может быть	12	23
10	к тому что	2	22
11	в то время	6	22
12	в зависимости от	3	22
13	не только не	7	21
14	то время как	6	20
15	из того что	2	19
16	в самом деле	6	19
17	во всяком случае	3	18
18	этой точки зрения	4	17
19	в связи с	3	17
20	с этой точки	4	16
21	одной и той	4	15
22	в данном случае	3	15
23	и той же	4	15
24	подобно тому как	5	14
25	то и другое	2	13
26	это значит что	25	13
27	точно так же	3	13
28	тем не менее	10	12
29	на первый план	4	12
30	одно и то	2	12
31	и то же	2	12
32	мы не можем	2	11
33	только тогда когда	6	11
34	в последнее время	2	11
35	от того что	4	10
36	сама по себе	11	9
37	само по себе	8	9
38	как и в	3	9
39	сам по себе	6	8
40	не могут быть	3	8
41	в силу этого	3	8
42	той или иной	2	8
43	в одинаковой мере	3	7
44	содержит в себе	2	7
45	о том как	2	7
46	не что иное	6	6
47	что иное как	6	6
48	то что мы	3	6
49	в лучшем случае	2	6
50	и в частности	2	6
51	не может не	3	5
52	в то же	3	5
53	и как бы	2	5
54	и в этом	4	5
55	того что он	4	5
56	есть прежде всего	4	5
57	тем что оно	2	5
58	сами по себе	3	5
59	уже по одному	2	5
60	есть не что	3	4
61	так что в	2	4
62	как и все	5	4
63	что с точки	2	4
64	есть в сущности	2	4
65	не потому что	2	4
66	мы видим что	2	4
67	бы то ни	2	3
68	это было бы	3	3
69	одна и та	3	3
70	того что она	2	3
71	и та же	3	3
72	потому что его	2	3
73	тех или иных	2	3
74	в вопросе о	2	3
75	та или иная	3	3
76	в чем заключается	2	3
77	значит что он	4	3
78	как раз и	3	3
79	к тому же	2	3
80	того или иного	3	3
81	но то что	2	3
82	то же время	3	3
83	не имеет никакого	3	3
84	только на то	2	2
85	и при этом	2	2
86	потому что она	2	2
87	и не только	5	2
88	он не может	3	2
89	ни в каком	8	2
90	вовсе не в	3	2
91	не может существовать	2	2
92	не то же	2	2
93	мы говорим об	2	2
94	мы не имеем	2	2
95	не отличается от	4	2
96	тот или иной	2	2
97	не больше чем	2	2
98	одному тому что	3	2
99	в чем же	2	2
100	легко заметить что	2	2
101	по одному тому	3	2
102	в сущности и	2	2
103	так же невозможно	2	2
