N	3gram	Losev_Prob	Mirosoze
1	не может быть	5	28
2	в том что	7	9
3	для того чтобы	9	7
4	друг к другу	2	6
5	о том что	16	6
6	есть прежде всего	3	6
7	вместе с тем	2	6
8	и в этом	5	6
9	но и в	3	5
10	может быть и	5	5
11	до сих пор	6	5
12	в конце концов	11	4
13	на то что	12	4
14	и в самом	2	4
15	то нет и	2	4
16	не что иное	5	4
17	то время как	2	4
18	можно было бы	4	4
19	в то время	2	4
20	что иное как	5	4
21	а не только	2	3
22	во всяком случае	11	3
23	это значит что	3	3
24	с тем что	2	3
25	и ничего не	2	3
26	также и в	2	3
27	так же как	2	3
28	есть не что	5	3
29	как будто бы	4	3
30	так как он	2	3
31	ставить и решать	2	2
32	никогда не может	2	2
33	тем что в	2	2
34	у нас не	2	2
35	и только в	2	2
36	подобно тому как	2	2
37	в этом отношении	2	2
38	не только в	3	2
39	тем что он	2	2
40	хотя бы и	3	2
41	том что в	2	2
42	начала xx века	2	2
43	имел в виду	2	2
44	что в нем	4	2
