N	2gram	Nazirov_Vr	SlovoVZh
1	не может	2	16
2	точки зрения	2	14
3	может быть	4	14
4	и его	3	13
5	как бы	4	13
6	и в	8	12
7	таким образом	2	12
8	и не	5	10
9	для нас	4	7
10	при этом	4	6
11	в том	3	6
12	в нем	6	6
13	в ней	4	6
14	никогда не	2	5
15	в виду	4	5
16	но в	6	5
17	том что	3	5
18	то же	5	5
19	как и	6	5
20	то что	7	5
21	отнюдь не	2	5
22	в этом	8	4
23	не только	9	4
24	его в	3	4
25	к автору	2	4
26	все же	6	4
27	уже не	2	4
28	отношение к	2	4
29	в них	2	3
30	о том	4	3
31	и уже	3	3
32	в котором	6	3
33	так же	4	3
34	в своей	2	3
35	в себе	2	3
36	еще не	2	3
37	все это	4	3
38	и ее	2	3
39	между тем	5	3
40	и с	6	3
41	не менее	2	3
42	с ним	4	3
43	но и	7	3
44	для него	2	3
45	и то	2	2
46	в его	3	2
47	что в	7	2
48	к ним	2	2
49	место в	2	2
50	с его	3	2
51	это не	4	2
52	и все	7	2
53	с точки	2	2
54	в своем	3	2
55	и что	8	2
56	в то	5	2
57	уже в	4	2
58	но это	2	2
59	он не	3	2
60	как же	2	2
61	в момент	2	2
62	на это	2	2
63	в чем	3	2
64	к этому	3	2
65	вместе с	2	2
