N	3gram	Tiupa_Anal	Problema
1	тем не менее	3	56
2	о том что	7	39
3	в том что	12	37
4	в данном случае	11	28
5	той или иной	6	26
6	по крайней мере	5	26
7	во всяком случае	6	25
8	с точки зрения	2	25
9	с другой стороны	7	25
10	в таком случае	2	23
11	сама по себе	3	21
12	сам по себе	2	21
13	и то что	2	20
14	в то же	7	17
15	того или иного	5	13
16	не может быть	2	12
17	можно сказать что	2	12
18	так или иначе	5	12
19	дело в том	3	11
20	с одной стороны	3	11
21	не только не	3	10
22	не только в	5	10
23	и тем самым	2	10
24	в той или	2	10
25	в сравнении с	2	9
26	в чистом виде	2	7
27	к тому же	7	7
28	но и в	2	7
29	тот или иной	3	7
30	крайней мере в	2	6
31	и как бы	2	6
32	в этом отношении	3	6
33	с той или	2	5
34	и прежде всего	2	5
35	том что он	2	5
36	здесь не только	4	4
37	дело здесь не	4	4
38	подобно тому как	3	4
39	и в своей	2	4
40	мы имеем дело	4	4
41	в том чтобы	2	4
42	в русской литературе	5	3
43	как и в	6	3
44	одного и того	4	3
45	как нам кажется	3	3
46	в отличие от	5	3
47	в известном смысле	2	3
48	и того же	4	3
49	в войне и	2	2
50	по отношению к	9	2
51	в основе своей	2	2
52	одной и той	2	2
53	что он не	2	2
54	в нашем понимании	2	2
55	в свою очередь	7	2
56	и той же	2	2
57	войне и мире	2	2
58	а в том	2	2
