N	3gram	Losev_Prob	formyVre
1	в то же	4	18
2	в связи с	7	15
3	как мы уже	2	15
4	с точки зрения	3	15
5	для того чтобы	9	12
6	но и в	3	12
7	не только в	3	11
8	до сих пор	6	10
9	одного и того	2	9
10	и того же	2	9
11	в том числе	2	8
12	в этом отношении	2	7
13	и т д	12	7
14	не может быть	5	7
15	с одной стороны	4	6
16	во всех этих	2	6
17	и в этом	5	6
18	а также и	2	6
19	в том что	7	5
20	на первый план	3	5
21	том числе и	2	5
22	то есть в	6	5
23	в то время	2	5
24	той или иной	5	5
25	одной стороны и	2	5
26	то время как	2	4
27	может быть и	5	4
28	в этом случае	6	4
29	и в других	3	4
30	связи с этим	2	4
31	с другой стороны	7	4
32	о которых мы	2	4
33	во всяком случае	11	4
34	также и в	2	3
35	и в частности	3	3
36	то же самое	9	3
37	и как бы	2	3
38	друг к другу	2	3
39	о том как	2	3
40	о том что	16	3
41	так и в	2	3
42	как раз и	11	3
43	вместе с тем	2	3
44	в литературе и	4	3
45	так же как	2	3
46	с самого начала	2	3
47	может быть только	2	3
48	сами по себе	5	3
49	как мы увидим	2	3
50	тот или иной	3	3
51	здесь не только	2	2
52	и ничего не	2	2
53	в значительной мере	2	2
54	слова то есть	2	2
55	только в этом	2	2
56	это значит что	3	2
57	вовсе не является	6	2
58	можно сказать что	6	2
59	мы здесь не	2	2
60	с тем что	2	2
61	так как он	2	2
62	пространстве и времени	2	2
63	дело в том	3	2
64	в частности в	2	2
65	вовсе не являются	5	2
66	в данном случае	10	2
67	по самому своему	2	2
68	и в самом	2	2
69	в буквальном смысле	3	2
