N	2gram	Tiupa_Hudo	Tragedij
1	и в	34	18
2	в этом	22	9
3	не только	22	8
4	и не	15	7
5	он сам	3	7
6	и на	6	7
7	как бы	11	7
8	и с	10	7
9	может быть	12	7
10	же время	11	6
11	что он	14	6
12	но в	6	6
13	и его	8	6
14	у него	13	6
15	несмотря на	7	5
16	что это	2	5
17	к жизни	6	5
18	все же	5	5
19	это не	12	5
20	то же	14	5
21	как и	16	5
22	в дальнейшем	2	5
23	так и	19	5
24	не может	10	5
25	в то	12	5
26	что в	8	4
27	еще не	10	4
28	в целом	2	4
29	но и	13	4
30	прежде всего	12	4
31	об этом	8	4
32	том что	31	4
33	в этой	11	4
34	и что	3	4
35	так же	3	4
36	и все	10	4
37	все это	2	4
38	в нем	5	4
39	что я	4	4
40	то что	13	4
41	но это	2	4
42	я не	8	4
43	и даже	4	4
44	в себе	19	4
45	один из	6	3
46	своего рода	19	3
47	к людям	2	3
48	в мире	10	3
49	уже в	2	3
50	тем самым	2	3
51	к нему	2	3
52	в своем	9	3
53	при этом	21	3
54	в его	17	3
55	все эти	4	3
56	и он	6	3
57	отнюдь не	4	3
58	о чем	9	3
59	с ее	7	3
60	и сам	3	3
61	как будто	7	3
62	должно быть	2	3
63	как в	11	3
64	как это	8	3
65	жизнь и	2	3
66	для него	15	3
67	в конце	5	3
68	с ним	6	3
69	никогда не	8	2
70	в рассказе	23	2
71	в самом	7	2
72	и то	2	2
73	но все	2	2
74	данном случае	3	2
75	по поводу	3	2
76	до конца	3	2
77	одна из	4	2
78	друг друга	5	2
79	тем что	6	2
80	перед нами	13	2
81	в душе	6	2
82	вопрос о	2	2
83	в одном	3	2
84	любви и	3	2
85	его в	5	2
86	в ресторане	2	2
87	не имеет	2	2
88	в виде	2	2
89	раз и	2	2
90	ничего не	11	2
91	то и	5	2
92	в данном	3	2
93	в ее	16	2
94	что все	3	2
95	к тому	11	2
96	а как	2	2
97	говорит о	4	2
98	о том	21	2
99	в ходе	4	2
100	о его	2	2
101	она как	2	2
102	что и	3	2
103	ни в	5	2
104	не в	16	2
105	столь же	6	2
106	это уже	2	2
107	потому что	7	2
108	вместе со	2	2
109	жизнью и	3	2
110	и личность	3	2
111	в частности	10	2
112	к области	2	2
113	только о	2	2
114	как у	2	2
115	в таком	3	2
116	еще раз	2	2
117	так что	3	2
118	он не	8	2
119	и ее	3	2
120	ничем не	3	2
121	ее жизни	2	2
122	в первом	2	2
123	бы и	2	2
124	уже не	12	2
125	что она	10	2
126	по мнению	6	2
127	и это	7	2
128	личности и	3	2
129	в том	24	2
130	в глазах	11	2
131	но при	3	2
132	который в	2	2
133	не случайно	14	2
134	еще в	4	2
135	он и	2	2
136	с его	9	2
137	во сне	3	2
138	что говорит	2	2
139	в это	4	2
140	отношение к	3	2
