N	2gram	Voloshinov	NovoeSre
1	а не	5	17
2	и в	12	16
3	не может	16	16
4	и не	10	11
5	что в	2	9
6	жизни и	4	8
7	как не	2	8
8	в том	6	8
9	он не	2	8
10	может быть	14	7
11	как и	5	7
12	в этом	4	7
13	никогда не	5	6
14	ни в	3	6
15	не в	4	6
16	но это	2	6
17	с его	2	6
18	не только	4	5
19	в жизни	5	5
20	все это	3	5
21	в нем	6	5
22	в ней	6	5
23	и к	4	5
24	со всех	2	4
25	в них	3	4
26	и для	3	4
27	прежде всего	8	4
28	не менее	3	4
29	и потому	2	4
30	перестает быть	2	4
31	то что	5	4
32	о том	3	4
33	это не	2	4
34	и все	2	4
35	но и	3	3
36	с другой	4	3
37	она не	2	3
38	и пр	3	3
39	в своей	3	3
40	еще не	3	3
41	к ним	2	3
42	должна быть	5	3
43	как в	5	3
44	конечно не	3	3
45	не есть	2	3
46	за пределы	4	3
47	сказать что	7	3
48	зависит от	2	2
49	в себе	3	2
50	все они	2	2
51	и с	3	2
52	формы и	3	2
53	но не	2	2
54	хотя бы	5	2
55	все время	6	2
56	но в	5	2
57	том что	5	2
58	не к	3	2
59	и на	4	2
60	и что	2	2
61	все эти	3	2
62	мы не	3	2
63	уже не	4	2
64	как это	2	2
65	другой стороны	2	2
66	так же	3	2
67	так и	4	2
68	могут быть	2	2
69	но для	3	2
70	одной стороны	2	2
71	такой же	2	2
72	в то	2	2
73	к содержанию	6	2
74	с одной	2	2
75	место в	2	2
76	ведь и	3	2
77	вместе с	2	2
