N	2gram	Medvedev_U	Literetu
1	а не	10	50
2	и не	8	47
3	не только	10	46
4	и в	14	44
5	может быть	6	43
6	но и	4	41
7	в том	2	39
8	в этом	7	38
9	том что	2	32
10	в частности	3	30
11	то что	7	29
12	то же	5	26
13	как и	3	23
14	в то	3	23
15	не в	2	22
16	не может	7	22
17	же время	3	21
18	в себе	2	20
19	прежде всего	8	19
20	в его	2	17
21	с другой	4	17
22	в этой	4	16
23	только в	2	15
24	что он	2	14
25	эстетического объекта	6	13
26	но не	2	13
27	в своей	3	12
28	одним из	2	12
29	это не	3	11
30	с его	2	11
31	не столько	2	11
32	в конечном	4	11
33	этом отношении	2	10
34	в области	3	10
35	конечном счете	4	10
36	не случайно	2	10
37	в противовес	2	10
38	и т.д	3	9
39	в конце	2	8
40	все же	3	8
41	в искусстве	6	8
42	по существу	2	8
43	но в	3	8
44	для него	3	8
45	тем что	2	8
46	как раз	2	8
47	художественного творчества	5	8
48	для всех	2	7
49	в их	4	7
50	не как	3	7
51	в художественном	5	7
52	для этого	3	7
53	другой стороны	3	7
54	и для	2	7
55	перестает быть	5	7
56	у нас	3	7
57	в самом	2	7
58	и с	2	7
59	самом деле	2	6
60	было бы	3	6
61	и то	3	6
62	произведения искусства	3	6
63	и только	5	6
64	между тем	2	5
65	что и	2	5
66	хотя бы	5	5
67	в россии	4	5
68	мы не	2	5
69	ни было	3	5
70	очевидно что	3	4
71	могли бы	2	4
72	могут быть	2	4
73	бы то	3	4
74	но это	2	4
75	сводится к	2	4
76	художественное произведение	5	4
77	все они	2	4
78	в сторону	2	4
79	более чем	2	4
80	то ни	3	4
81	таким образом	2	4
82	ничего не	2	3
83	о чем	2	3
84	по себе	2	3
85	крайней мере	2	3
86	искусства как	2	3
87	нам представляется	2	3
88	это уже	2	3
89	должна быть	2	3
90	бы и	2	3
91	художественного произведения	2	3
92	если бы	2	3
93	превращается в	2	3
94	по крайней	2	3
95	и является	2	3
96	что такое	4	3
97	не есть	2	3
98	если не	2	3
99	в итоге	2	3
100	же самое	2	3
101	мы и	2	3
102	и у	2	2
103	а как	2	2
104	словесного творчества	2	2
105	при таком	2	2
106	даже и	2	2
107	но даже	2	2
108	или иных	2	2
109	тех или	2	2
110	на эту	2	2
111	на первый	2	2
