N	3gram	Trubetskoy	Istorich
1	до сих пор	5	30
2	с одной стороны	7	28
3	так же как	3	27
4	в том что	3	25
5	тем не менее	3	23
6	вместе с тем	8	23
7	но все же	4	23
8	точно так же	3	22
9	о том что	4	22
10	в связи с	3	17
11	на то что	2	14
12	более или менее	5	9
13	и вместе с	4	9
14	друг с другом	5	9
15	но вместе с	2	8
16	то же самое	2	8
17	во всяком случае	6	7
18	с самого начала	2	6
19	этой точки зрения	2	6
20	с этой точки	2	6
21	к тому же	4	6
22	для того чтобы	5	5
23	в том числе	5	5
24	то что он	2	5
25	влечет за собой	2	4
26	можно сказать что	2	4
27	с точки зрения	6	4
28	так или иначе	3	4
29	друг на друга	2	4
30	но и для	2	3
31	бы то ни	2	3
32	а так как	3	3
33	то ни было	2	3
34	таким образом в	2	3
35	по сравнению с	2	3
36	может быть и	2	2
37	но все это	2	2
38	ничего общего с	2	2
39	с одним из	2	2
40	и связанные с	2	2
41	и потому что	2	2
42	то ясно что	2	2
43	мы должны признать	2	2
44	между этими двумя	2	2
45	с тех пор	2	2
46	главным образом в	3	2
47	не только для	2	2
48	том числе и	4	2
49	и таким образом	3	2
