N	3gram	Bakhtin_sl	VeschiIm
1	и т д	7	38
2	не может быть	11	24
3	тем не менее	2	11
4	в том что	4	9
5	сама по себе	2	7
6	с точки зрения	11	6
7	может быть только	3	6
8	одно и то	2	5
9	и то же	2	5
10	в то же	15	5
11	не только в	3	5
12	в свою очередь	3	5
13	не только не	2	4
14	более или менее	5	4
15	то время как	2	4
16	о том что	2	4
17	в то время	2	4
18	то же время	15	4
19	в собственном смысле	2	3
20	можно было бы	2	3
21	не может не	5	3
22	с одной стороны	7	3
23	с другой стороны	5	3
24	и в то	6	3
25	как бы ни	2	2
26	во всяком случае	7	2
27	в этом отношении	2	2
28	хотя бы и	5	2
29	к тому что	2	2
30	дело не с	2	2
31	в отношении к	9	2
32	в связи с	2	2
33	если она не	2	2
34	друг с другом	2	2
35	в данном случае	3	2
36	и кроме того	2	2
37	и с другой	2	2
38	а следовательно и	2	2
39	и в этом	2	2
40	в первом случае	2	2
41	в той или	12	2
