N	3gram	Bakhtin_sl	DiskursI
1	в том что	4	28
2	в отличие от	12	26
3	по отношению к	2	17
4	с одной стороны	7	14
5	не может быть	11	12
6	в данном случае	3	12
7	той или иной	13	10
8	то же время	15	10
9	о том что	2	9
10	в то же	15	8
11	в этом отношении	2	8
12	как и в	2	7
13	так и в	5	6
14	с точки зрения	11	6
15	одной стороны и	2	5
16	в значительной степени	6	5
17	не только в	3	5
18	с другой стороны	5	5
19	в свою очередь	3	5
20	до известной степени	3	4
21	тем не менее	2	4
22	в этом случае	4	4
23	и не может	2	4
24	одно и то	2	3
25	и то же	2	3
26	более или менее	5	3
27	во всяком случае	7	3
28	того или иного	2	3
29	точки зрения на	4	2
30	а не как	2	2
31	как мы видели	2	2
32	большей или меньшей	5	2
33	точка зрения на	3	2
34	своего и чужого	4	2
35	а также и	3	2
36	дело не с	2	2
37	в большинстве случаев	11	2
38	один из важнейших	2	2
39	но и в	2	2
40	же время и	2	2
41	и в том	2	2
42	в том и	2	2
43	в новое время	2	2
44	и в особенности	5	2
45	к чужому слову	6	2
46	и в то	6	2
47	включает в себя	3	2
