N	2gram	Nazirov_Tr	Narrotol
1	не только	8	62
2	и не	7	50
3	при этом	3	47
4	но и	4	45
5	в частности	2	31
6	может быть	7	30
7	и в	18	30
8	в том	2	29
9	своего рода	3	28
10	том что	4	28
11	в этом	9	28
12	в данном	2	24
13	как и	5	24
14	не в	2	23
15	то что	4	23
16	то есть	3	22
17	не может	5	20
18	в рассказе	2	18
19	данном случае	2	17
20	в себе	4	17
21	так и	5	17
22	в его	3	16
23	но в	6	15
24	к тому	2	15
25	и его	6	14
26	в своем	3	13
27	то же	5	13
28	у него	6	13
29	о том	2	13
30	уже не	2	13
31	перед нами	2	12
32	все же	5	12
33	прежде всего	4	12
34	как в	3	12
35	как бы	7	12
36	тем самым	3	11
37	отличие от	2	11
38	об этом	4	11
39	в нем	4	11
40	в этой	4	11
41	в отличие	2	11
42	в мире	3	11
43	никогда не	2	10
44	в то	5	10
45	ничего не	2	10
46	как это	3	10
47	один из	3	10
48	и все	4	10
49	с его	2	10
50	еще не	4	9
51	что он	6	9
52	что в	4	9
53	отнюдь не	3	9
54	для него	3	9
55	столь же	2	9
56	потому что	2	9
57	с ним	3	9
58	о чем	3	8
59	но при	2	8
60	одна из	2	8
61	и он	3	8
62	в самом	2	8
63	же время	6	8
64	в таком	2	8
65	он не	2	8
66	не мог	2	8
67	это не	5	7
68	в конце	3	7
69	в целом	4	7
70	в ее	2	7
71	в глазах	2	7
72	и на	7	7
73	что и	2	6
74	то и	2	6
75	как у	2	6
76	о жизни	2	5
77	к нему	3	5
78	я не	4	5
79	и здесь	2	5
80	и то	2	5
81	по поводу	2	5
82	что это	5	5
83	бы и	2	5
84	с ее	3	5
85	и даже	4	5
86	не случайно	2	5
87	еще в	2	5
88	в одном	2	5
89	он сам	7	5
90	и сам	3	5
91	как будто	3	5
92	еще раз	2	4
93	и ее	2	4
94	в ходе	2	4
95	друг друга	2	4
96	в душе	2	4
97	это уже	2	4
98	в первом	2	4
99	который в	2	4
100	в поле	3	4
101	и как	3	4
102	не имеет	2	4
103	но они	2	4
104	во сне	2	4
105	что я	4	4
106	и с	7	4
107	мог бы	3	4
108	несмотря на	5	4
109	к жизни	5	4
110	до конца	2	3
111	так же	4	3
112	а как	2	3
113	в виде	2	3
114	в романе	10	3
115	и это	2	3
116	точно так	2	3
117	все эти	3	3
118	времени в	2	3
119	о его	2	3
120	но это	4	3
121	только к	2	3
122	что она	2	3
123	даже если	2	3
124	он и	2	3
125	говорит о	2	3
126	и что	4	3
127	не просто	2	3
128	чем он	2	3
129	от всего	2	2
130	в это	2	2
131	что с	3	2
132	так что	2	2
133	любви и	2	2
134	русской литературы	2	2
135	в году	9	2
136	было в	2	2
137	никто не	3	2
138	ее жизни	2	2
139	тут же	2	2
140	но все	2	2
141	должно быть	3	2
142	по мнению	2	2
143	теперь и	2	2
144	и личность	2	2
145	все это	4	2
146	тем что	2	2
147	по словам	2	2
148	как говорит	2	2
149	отношение к	2	2
150	в самую	2	2
151	раз и	2	2
152	это был	2	2
153	жизнью и	2	2
