N	2gram	Bakhtin_Pr	Sotsiolo
1	все это	9	7
2	в том	12	5
3	в этом	33	5
4	для нас	2	3
5	как же	6	3
6	не только	26	3
7	и только	3	3
8	в его	30	3
9	но ведь	3	3
10	не в	15	3
11	и в	64	3
12	это и	5	2
13	она может	2	2
14	должна быть	8	2
15	отношению к	12	2
16	по отношению	12	2
17	еще не	10	2
18	по природе	2	2
19	только в	13	2
20	что в	11	2
21	том что	8	2
22	было бы	8	2
23	таким образом	15	2
24	в смысле	3	2
25	то же	18	2
26	только как	2	2
27	как будто	4	2
28	и что	5	2
29	конце концов	7	2
30	к которому	2	2
31	то что	21	2
32	как бы	33	2
33	но и	26	2
34	в конце	8	2
35	за пределы	7	2
36	и мы	2	2
37	или даже	2	2
38	далеко не	7	2
39	может быть	43	2
40	по существу	6	2
41	в результате	7	2
42	ведь это	4	2
