N	2gram	Propp_Isto	EvropaiE
1	и в	43	37
2	в пределах	5	25
3	точки зрения	3	23
4	что в	29	21
5	не только	28	18
6	в то	2	16
7	хотя бы	3	15
8	то же	11	15
9	в своем	2	14
10	но в	15	14
11	но и	24	14
12	и не	16	14
13	в качестве	4	14
14	в этом	25	12
15	в том	13	11
16	так и	6	10
17	т е	36	9
18	так же	16	9
19	не может	8	9
20	в себе	2	9
21	прежде всего	3	9
22	только в	8	9
23	одной стороны	2	8
24	между тем	2	8
25	было бы	5	8
26	в своей	4	8
27	с одной	2	8
28	к тому	9	8
29	с другой	10	7
30	а также	5	7
31	как и	9	7
32	так как	13	7
33	между прочим	4	7
34	того что	8	7
35	том что	12	6
36	и даже	4	6
37	может быть	22	6
38	и на	7	6
39	стороны и	3	6
40	с этой	3	6
41	на то	4	6
42	то что	20	6
43	как бы	5	6
44	вовсе не	3	6
45	к которым	3	5
46	но не	10	5
47	и по	6	5
48	и потому	2	5
49	но если	2	5
50	как мы	11	5
51	со стороны	3	5
52	не в	9	5
53	в виде	2	5
54	в частности	6	5
55	в течение	6	5
56	же как	8	5
57	даже в	4	4
58	сказать что	5	4
59	вопрос о	4	4
60	не имеет	3	4
61	во многих	2	4
62	можно сказать	3	4
63	независимо от	3	4
64	мы не	3	4
65	в ней	3	4
66	для нас	6	4
67	по себе	3	4
68	в некотором	3	4
69	к ней	4	4
70	не на	2	4
71	как это	5	4
72	никогда не	9	3
73	с тем	3	3
74	и от	3	3
75	и для	3	3
76	и только	6	3
77	о том	4	3
78	ли это	2	3
79	в данном	7	3
80	вообще не	2	3
81	в которых	7	3
82	когда он	2	3
83	можно было	3	3
84	в свою	5	3
85	и к	4	3
86	мы можем	10	3
87	от них	5	3
88	из них	7	3
89	во все	4	3
90	в них	6	3
91	можно ли	3	3
92	всяком случае	2	3
93	на себя	5	3
94	мы видели	18	3
95	что и	17	3
96	друг с	2	3
97	во второй	2	3
98	и некоторые	3	3
99	там где	8	3
100	и тем	2	3
101	не дает	3	3
102	тем что	8	3
103	потому что	8	3
104	себе в	2	3
105	представляет собой	6	3
106	с другом	2	3
107	как в	6	3
108	связано с	4	3
109	большинстве случаев	3	3
110	ее в	3	3
111	во всяком	2	3
112	на одну	2	2
113	данном случае	6	2
114	и если	3	2
115	представление о	3	2
116	в его	7	2
117	не есть	3	2
118	на месте	2	2
119	и этот	2	2
120	долгое время	2	2
121	что это	4	2
122	при помощи	11	2
123	и то	4	2
124	в стране	2	2
125	утверждать что	2	2
126	к нему	12	2
127	она не	4	2
128	а в	13	2
129	с этим	13	2
130	из того	2	2
131	мы должны	9	2
132	или по	5	2
133	в котором	5	2
134	его на	6	2
135	заметить что	2	2
136	но как	2	2
137	в сторону	3	2
138	далеко не	3	2
139	можно утверждать	2	2
140	в большинстве	2	2
141	ли здесь	3	2
142	и с	10	2
143	этот вопрос	3	2
144	в другой	6	2
145	такое предположение	2	2
146	что на	6	2
147	могут быть	9	2
148	другой стороны	10	2
149	есть ли	4	2
150	также в	2	2
151	в одном	9	2
152	на них	2	2
153	и как	6	2
154	не можем	2	2
155	что же	2	2
156	целый ряд	3	2
157	есть не	2	2
158	если бы	7	2
159	для них	3	2
160	в этих	18	2
161	жизни и	2	2
162	в силу	2	2
163	еще более	3	2
164	как не	2	2
165	в других	6	2
166	а не	13	2
167	мы видим	15	2
168	прочим и	2	2
169	и что	6	2
170	происходит в	4	2
171	то не	2	2
172	же в	6	2
173	одном из	3	2
174	и все	4	2
175	или в	14	2
176	наряду с	4	2
177	по сравнению	2	2
178	таким образом	15	2
179	а именно	8	2
180	он не	11	2
181	как будто	2	2
182	такой же	3	2
183	главным образом	3	2
184	случаях когда	2	2
185	сравнению с	2	2
186	но по	4	2
187	в этой	7	2
188	в некоторых	9	2
189	между собой	2	2
190	в северной	3	2
191	хотя и	4	2
192	должна быть	2	2
193	вместе с	12	2
194	он сам	2	2
195	и более	3	2
196	вопрос не	2	2
