N	2gram	Medvedev_V	Vladivir
1	и в	26	116
2	то что	7	71
3	и не	20	67
4	в году	7	65
5	не только	26	65
6	у него	6	65
7	в этом	29	53
8	в том	15	52
9	том что	8	51
10	что в	11	48
11	но и	10	47
12	в конце	3	41
13	в его	15	40
14	сказать что	5	36
15	и даже	2	36
16	также и	2	36
17	еще и	2	32
18	что он	4	32
19	не может	17	31
20	о том	10	30
21	только в	8	30
22	никогда не	5	29
23	для него	9	29
24	вовсе не	3	27
25	а в	3	27
26	не было	7	26
27	в то	6	25
28	но в	2	25
29	в себе	6	25
30	а к	2	25
31	и его	6	25
32	даже и	3	24
33	точки зрения	3	23
34	между прочим	2	23
35	может быть	23	23
36	он не	2	23
37	об этом	9	22
38	в своей	4	21
39	вместе с	8	21
40	в своем	8	20
41	прежде всего	13	20
42	и потому	2	19
43	так и	6	19
44	не менее	2	19
45	как раз	4	19
46	по поводу	4	19
47	таким образом	32	19
48	в течение	2	19
49	не в	6	18
50	как это	12	18
51	как и	7	18
52	хотя и	2	18
53	с его	4	18
54	н н	2	18
55	что и	3	17
56	в этой	4	17
57	то это	2	17
58	у нас	3	17
59	в письме	16	17
60	а не	7	17
61	все же	6	16
62	того что	3	16
63	а н	3	16
64	было бы	8	16
65	к тому	5	16
66	в котором	3	16
67	письме к	12	15
68	в связи	4	15
69	к этому	9	15
70	то же	10	15
71	в своих	2	15
72	и к	3	15
73	все эти	8	14
74	с а	2	14
75	и как	3	14
76	так же	3	13
77	с тем	4	13
78	можно сказать	4	13
79	да и	2	13
80	и от	3	13
81	в результате	5	13
82	жизни и	3	13
83	и у	2	12
84	в нем	7	12
85	и по	3	12
86	связи с	5	12
87	во всяком	2	12
88	по себе	2	12
89	всяком случае	2	12
90	или менее	6	11
91	все это	13	11
92	никак не	3	11
93	хотя бы	20	11
94	в которой	2	11
95	него в	3	11
96	на то	2	11
97	более или	6	11
98	к с	2	11
99	конце концов	2	11
100	в основном	7	11
101	к н	3	10
102	вот что	12	10
103	даже в	5	10
104	в ней	2	10
105	что его	2	10
106	что все	4	10
107	в качестве	12	10
108	можно было	2	10
109	еще не	2	10
110	но не	2	10
111	что для	4	10
112	в самом	4	10
113	января года	3	10
114	отнюдь не	4	10
115	он и	2	10
116	это не	7	9
117	но как	3	9
118	о чем	2	9
119	мы знаем	3	9
120	смысле слова	2	9
121	в целом	5	9
122	по существу	4	9
123	с этим	3	9
124	и сам	2	9
125	ни с	2	9
126	с другой	11	9
127	именно в	3	9
128	что мы	2	9
129	же время	5	9
130	это мы	3	8
131	марта года	2	8
132	не столько	2	8
133	в чем	2	8
134	как бы	5	8
135	из этих	7	8
136	и он	3	8
137	должно быть	2	8
138	и для	2	8
139	когда он	4	8
140	значит что	2	8
141	к его	2	7
142	но даже	3	7
143	как он	3	7
144	при помощи	3	7
145	себе и	2	7
146	по этому	10	7
147	того чтобы	3	7
148	о его	2	7
149	же в	7	7
150	е в	2	7
151	но вот	2	7
152	из его	4	7
153	бы и	6	7
154	мы видели	3	7
155	даже не	2	7
156	если бы	3	7
157	а толстой	3	7
158	в одном	5	7
159	и есть	5	7
160	в них	5	7
161	его в	3	6
162	от того	2	6
163	том же	6	6
164	на основании	8	6
165	в виду	4	6
166	тому что	7	6
167	в общем	2	6
168	другой стороны	8	6
169	что она	2	6
170	на него	2	6
171	и наконец	2	6
172	для того	3	6
173	же и	3	6
174	не с	2	6
175	в жизни	2	6
176	он пишет	9	6
177	главным образом	7	6
178	он сам	2	6
179	по его	2	6
180	начиная с	2	5
181	а вот	3	5
182	в их	5	5
183	в частности	12	5
184	говорит в	3	5
185	утверждает что	3	5
186	она не	3	5
187	он в	2	5
188	один из	6	5
189	н ф	2	5
190	что они	3	5
191	во время	4	5
192	в области	2	5
193	сводится к	3	5
194	ее в	4	5
195	что пишет	3	5
196	мы имеем	3	5
197	только то	2	5
198	во всех	7	5
199	со своим	3	5
200	в философии	4	5
201	свидетельствуют о	2	5
202	далеко не	3	5
203	что у	3	5
204	не вполне	2	5
205	для его	4	5
206	из них	11	5
207	говорит о	7	5
208	как на	3	5
209	не о	2	4
210	перед нами	5	4
211	всех этих	3	4
212	не могут	10	4
213	крайней мере	2	4
214	вплоть до	2	4
215	человека и	3	4
216	но для	2	4
217	в науке	2	4
218	это и	6	4
219	как у	2	4
220	у них	2	4
221	после этого	2	4
222	этот труд	2	4
223	что даже	2	4
224	одной из	2	4
225	и т	25	4
226	только с	2	4
227	толстого в	3	4
228	года и	2	4
229	он говорит	5	4
230	этом же	2	4
231	одной стороны	2	4
232	и просто	2	4
233	разума и	3	4
234	как например	2	4
235	т д	16	4
236	только что	4	4
237	и весь	2	4
238	в статье	4	4
239	лишь в	2	4
240	в особенности	2	4
241	этом отношении	14	4
242	по крайней	2	4
243	с одной	2	4
244	заключается в	2	4
245	том чтобы	2	4
246	нет и	3	4
247	к а	2	4
248	их в	7	4
249	знаем что	2	4
250	на этом	2	4
251	только не	2	4
252	пока еще	2	4
253	же самое	2	4
254	но с	2	4
255	пишет в	4	4
256	в книге	2	3
257	так сказать	2	3
258	которые в	2	3
259	к этим	2	3
260	и ее	4	3
261	и через	2	3
262	в другом	2	3
263	в силу	14	3
264	пишет о	3	3
265	который в	2	3
266	в стихотворении	2	3
267	роль в	4	3
268	и никогда	2	3
269	между ними	3	3
270	и при	5	3
271	нет никаких	2	3
272	на вопрос	2	3
273	его не	3	3
274	его от	2	3
275	также что	2	3
276	так например	2	3
277	что не	3	3
278	этому поводу	7	3
279	вот это	2	3
280	для них	2	3
281	и др	10	3
282	отметить что	2	3
283	же как	2	3
284	иметь в	2	3
285	при всем	3	3
286	по одному	2	3
287	и этот	2	3
288	нет ни	2	3
289	том числе	2	3
290	того как	2	3
291	самого себя	2	3
292	не столь	3	3
293	произведения как	6	3
294	три года	2	3
295	с ними	4	3
296	ума и	2	3
297	в противоположность	3	3
298	бы в	3	3
299	о своем	2	3
300	но то	2	3
301	отличается от	2	3
302	является не	4	3
303	из многочисленных	2	3
304	апреля года	2	3
305	это делает	3	3
306	как о	3	3
307	как говорит	5	3
308	одним из	5	3
309	же о	2	3
310	мая года	3	3
311	июля года	2	3
312	как известно	2	3
313	что такое	2	3
314	будто бы	2	3
315	в которых	3	3
316	от июля	2	3
317	только о	2	3
318	этой области	3	3
319	человека в	2	2
320	не подлежит	2	2
321	слова не	2	2
322	утверждать что	5	2
323	том как	3	2
324	не является	5	2
325	только для	2	2
326	одна из	4	2
327	ни одного	2	2
328	вообще и	2	2
329	но к	2	2
330	не по	2	2
331	не всегда	2	2
332	видно из	3	2
333	что ни	2	2
334	разобраться в	2	2
335	познания в	4	2
336	идеи и	6	2
337	говорил что	3	2
338	то о	2	2
339	образом в	3	2
340	стороны и	2	2
341	не приходится	2	2
342	одному тому	2	2
343	они не	2	2
344	могло бы	2	2
345	мира и	3	2
346	и заключается	2	2
347	значит и	3	2
348	можно ли	2	2
349	можно утверждать	4	2
350	в ее	4	2
351	этому вопросу	2	2
352	было в	2	2
353	и может	2	2
354	должна быть	2	2
355	например в	3	2
356	в материальной	2	2
357	если в	2	2
358	если они	2	2
359	и целостного	3	2
360	с другими	2	2
361	в нашей	4	2
362	на это	2	2
363	от апреля	2	2
364	а о	2	2
365	этом и	2	2
366	них не	4	2
367	а значит	3	2
368	все они	2	2
369	и их	3	2
370	во сне	21	2
371	за эти	2	2
372	на эти	2	2
373	думается что	6	2
374	сих пор	2	2
375	во всей	2	2
376	после того	2	2
377	имеет свою	3	2
378	в самых	2	2
379	вполне естественно	4	2
380	в порядке	6	2
381	он же	6	2
382	из которых	2	2
383	эта не	2	2
384	должны быть	2	2
385	тогда когда	2	2
386	внимание на	2	2
387	может не	2	2
388	говорить о	2	2
389	им как	2	2
390	целого ряда	2	2
391	в работе	3	2
392	относится к	2	2
393	до сих	2	2
