N	3gram	Propp_Russ	formyVre
1	в связи с	4	15
2	как мы уже	2	15
3	с точки зрения	3	15
4	для того чтобы	6	12
5	в большинстве случаев	2	8
6	и т д	12	7
7	в отличие от	4	7
8	и в этом	2	6
9	в том что	27	5
10	в то время	3	5
11	может быть и	3	4
12	в этом случае	9	4
13	и в других	7	4
14	но все же	2	4
15	друг к другу	2	3
16	о том что	6	3
17	вместе с тем	10	3
18	так же как	5	3
19	что в этом	2	3
20	как мы увидим	5	3
21	же как и	3	3
22	на другой день	2	2
23	там же в	3	2
24	к тому что	4	2
25	в виду что	2	2
26	в данном случае	7	2
27	в свою очередь	2	2
28	бросается в глаза	3	2
