N	2gram	Tiupa_Hudo	Sotsiolo
1	все это	2	7
2	в том	24	5
3	в этом	22	5
4	более чем	2	3
5	для нас	4	3
6	не только	22	3
7	и только	2	3
8	в его	17	3
9	но ведь	2	3
10	не в	16	3
11	и в	34	3
12	это и	2	2
13	она может	2	2
14	дело не	2	2
15	отношению к	15	2
16	по отношению	15	2
17	еще не	10	2
18	только в	8	2
19	что в	8	2
20	в частности	10	2
21	том что	31	2
22	было бы	8	2
23	то же	14	2
24	как будто	7	2
25	и что	3	2
26	как только	3	2
27	то что	13	2
28	как бы	11	2
29	но и	13	2
30	в конце	5	2
31	или даже	2	2
32	может быть	12	2
33	в результате	2	2
