N	3gram	Losev_Dial	Literetu
1	в то же	7	21
2	то же время	8	21
3	в том что	12	21
4	с одной стороны	3	12
5	не может быть	4	11
6	о том что	6	10
7	так или иначе	3	10
8	в этом отношении	2	10
9	с точки зрения	18	8
10	с другой стороны	7	7
11	к тому же	2	6
12	не только в	2	6
13	тем не менее	3	5
14	в связи с	3	5
15	в силу своей	2	4
16	и т п	3	3
17	во всяком случае	3	3
18	то же самое	3	3
19	той или иной	4	3
20	на самом деле	3	3
21	по крайней мере	11	3
22	то что я	2	3
23	в самом деле	3	3
24	на то что	4	3
25	одной стороны и	3	3
26	ничего общего с	3	3
27	и в частности	4	3
28	одно и то	8	2
29	и то же	8	2
30	я не могу	2	2
31	только то что	6	2
32	имеется в виду	3	2
33	на первый взгляд	2	2
34	может и не	2	2
35	жизни и в	2	2
36	к тому что	3	2
37	можно было бы	4	2
38	и не только	4	2
