N	3gram	Losev_Dial	formyVre
1	и т п	3	32
2	то же время	8	21
3	в то же	7	18
4	в связи с	3	15
5	с точки зрения	18	15
6	друг с другом	2	13
7	не только в	2	11
8	до сих пор	4	10
9	и в то	3	10
10	вещей и явлений	3	9
11	в этом отношении	2	7
12	и т д	28	7
13	не может быть	4	7
14	с одной стороны	3	6
15	и в этом	4	6
16	одно и то	8	5
17	и то же	8	5
18	в том что	12	5
19	в широком смысле	2	5
20	и не только	4	5
21	в то время	2	5
22	той или иной	4	5
23	времени и пространства	2	5
24	пространства и времени	4	5
25	одной стороны и	3	5
26	в нем нет	3	4
27	то время как	2	4
28	может быть и	6	4
29	связи с этим	2	4
30	с другой стороны	7	4
31	прежде всего необходимо	2	4
32	но все же	2	4
33	во всяком случае	3	4
34	жизни и в	2	3
35	и в частности	4	3
36	то же самое	3	3
37	ни в чем	2	3
38	друг к другу	2	3
39	в зависимости от	2	3
40	о том что	6	3
41	как бы ни	2	3
42	с самого начала	2	3
43	может быть только	2	3
44	сами по себе	4	3
45	по сравнению с	2	3
46	в той или	3	3
47	и та же	5	2
48	мы находим в	2	2
49	и должно быть	3	2
50	это значит что	16	2
51	бы она ни	2	2
52	потому что они	2	2
53	не было бы	2	2
54	к тому что	3	2
55	в виду что	2	2
56	можно сказать что	6	2
57	так как он	2	2
58	одна и та	5	2
59	к тому же	2	2
