N	3gram	Tiupa_Lite	Hudozhes
1	по отношению к	4	10
2	не сводится к	3	9
3	в том что	15	8
4	в то же	12	7
5	я в мире	3	7
6	в отличие от	6	7
7	то же время	12	7
8	с другой стороны	5	6
9	в конечном счете	8	5
10	состоит в том	8	5
11	так или иначе	8	4
12	в силу своей	3	4
13	факторов художественного впечатления	2	4
14	не может быть	5	4
15	с точки зрения	4	3
16	с одной стороны	8	3
17	в виду не	2	3
18	в том числе	2	3
19	читателя зрителя слушателя	4	3
20	тем не менее	4	3
21	подобно тому как	4	3
22	в связи с	4	3
23	в знаковом материале	2	3
24	несет в себе	2	3
25	субъект художественной деятельности	3	3
26	ту или иную	2	2
27	и прежде всего	4	2
28	совокупность факторов художественного	2	2
29	в русской литературе	5	2
30	на воспринимающее сознание	2	2
31	начинает восприниматься как	2	2
32	художественного мышления и	2	2
33	с легкой руки	2	2
34	новой парадигмы художественности	2	2
35	этой точки зрения	3	2
36	мы имеем дело	2	2
37	с этой точки	3	2
38	художественности состоит в	2	2
39	художественная деятельность мыслится	3	2
40	в равной степени	2	2
41	деятельностью направленной на	2	2
42	тех или иных	2	2
43	а с другой	2	2
44	в свою очередь	2	2
45	определяющим отношением художественности	2	2
46	не могло быть	2	2
47	как совокупность факторов	2	2
