N	3gram	Vinokur_St	formyVre
1	и т п	11	32
2	то же время	5	21
3	в то же	5	18
4	с точки зрения	10	15
5	для того чтобы	13	12
6	но и в	2	12
7	не только в	4	11
8	до сих пор	12	10
9	в том числе	3	8
10	в этом отношении	13	7
11	и т д	25	7
12	не может быть	5	7
13	с одной стороны	2	6
14	и в этом	4	6
15	в том же	3	6
16	а также и	2	6
17	в том что	29	5
18	том числе и	2	5
19	как и в	2	5
20	в то время	2	5
21	может быть и	2	4
22	в этом случае	3	4
23	как раз в	4	4
24	с другой стороны	8	4
25	но все же	3	4
26	во всяком случае	8	4
27	по отношению к	3	4
28	в зависимости от	2	3
29	о том что	19	3
30	так и в	5	3
31	но в то	2	3
32	вместе с тем	2	3
33	так же как	5	3
34	как бы ни	2	3
35	с самого начала	3	3
36	сами по себе	2	3
37	это прежде всего	2	2
38	к тому что	4	2
39	к тому времени	2	2
40	т п в	4	2
41	для него самого	2	2
42	дело в том	7	2
43	что и в	4	2
44	в данном случае	7	2
45	было бы не	2	2
46	тем более что	2	2
47	и в самом	3	2
48	очень большое значение	2	2
49	к тому же	2	2
