N	3gram	Vygotskiy_	Stilisti
1	в то же	2	9
2	то же время	2	7
3	для того чтобы	11	7
4	в зависимости от	6	7
5	с точки зрения	12	5
6	мы никогда не	5	5
7	заключает в себе	3	4
8	то же самое	8	4
9	одной и той	5	4
10	и той же	5	4
11	то или иное	2	4
12	в свою очередь	3	4
13	в конце концов	6	3
14	на самом деле	6	3
15	тех или иных	2	3
16	вместе с тем	3	2
17	все то что	3	2
18	больше и больше	2	2
19	никогда не сумеем	2	2
20	в связи с	2	2
21	мы увидим что	2	2
22	что иное как	2	2
23	приходится иметь дело	3	2
24	только потому что	2	2
25	той же самой	2	2
26	в самом деле	13	2
27	в этом отношении	7	2
28	не было бы	3	2
29	к тому что	2	2
30	и те же	3	2
31	одни и те	3	2
32	можно сказать что	2	2
33	та же самая	2	2
34	мы видели что	2	2
35	смысле этого слова	2	2
36	о том что	9	2
37	все больше и	2	2
38	мы видим что	4	2
39	не что иное	2	2
40	не может быть	14	2
