N	2gram	Tiupa_Lite	VelikijI
1	во имя	3	32
2	и не	19	20
3	и в	26	16
4	так как	2	9
5	то что	14	9
6	еще не	4	8
7	а не	28	7
8	не есть	2	6
9	человека и	2	6
10	в мире	9	5
11	как бы	8	5
12	на себя	4	5
13	но и	25	5
14	что есть	2	5
15	того что	7	5
16	как и	13	4
17	потому что	5	4
18	все что	3	4
19	в нем	4	4
20	в ней	4	4
21	что не	3	4
22	во мне	2	4
23	и я	7	4
24	в его	9	4
25	в этом	19	4
26	что он	8	4
27	и есть	3	4
28	так и	7	4
29	никогда не	5	3
30	превращается в	2	3
31	в жизни	7	3
32	что в	7	3
33	в том	22	3
34	не имеет	2	3
35	за то	2	3
36	но в	5	3
37	к тому	3	3
38	что ты	2	3
39	нет ничего	2	3
40	то это	2	3
41	но это	2	3
42	хотя бы	3	3
43	и будет	2	3
44	в своей	5	3
45	во всех	4	3
46	свободы от	4	3
47	в конце	6	3
48	по этому	2	3
49	жизни и	6	3
50	в первый	2	3
51	что и	3	3
52	и мы	2	3
53	не было	5	3
54	лишь в	4	3
55	и что	2	3
56	не в	11	3
57	все эти	2	3
58	первый раз	2	3
59	в этих	2	3
60	что я	4	3
61	должна быть	3	3
62	в чем	2	3
63	с его	5	3
64	и то	3	2
65	с тем	2	2
66	да и	3	2
67	самого себя	3	2
68	одна из	8	2
69	но не	8	2
70	по которым	2	2
71	это не	4	2
72	не только	29	2
73	а в	5	2
74	том что	19	2
75	мир и	2	2
76	на том	3	2
77	во главе	2	2
78	от него	2	2
79	а к	2	2
80	во всяком	3	2
81	уже не	9	2
82	могут быть	4	2
83	с тобой	6	2
84	не к	3	2
85	один из	7	2
86	для них	2	2
87	более чем	4	2
88	мира в	4	2
89	тем что	6	2
90	мы не	5	2
91	можно было	3	2
92	только в	8	2
93	и сам	6	2
94	и за	2	2
95	сознания от	3	2
96	освобождения от	2	2
97	для нас	3	2
98	в себя	5	2
99	прежде всего	14	2
100	и т	2	2
101	с ним	2	2
102	всего в	4	2
103	между тем	2	2
104	а с	2	2
105	для него	6	2
106	не с	2	2
