N	3gram	Losev_Vesc	VLabPisa
1	и т д	36	16
2	в этом отношении	2	14
3	с другой стороны	3	8
4	не может быть	22	8
5	более или менее	4	6
6	в то же	5	5
7	в том что	9	5
8	то же время	4	5
9	хотя бы и	2	5
10	вместе с тем	3	4
11	к тому что	2	4
12	можно сказать что	3	4
13	равно как и	4	4
14	мы видели что	3	3
15	подобно тому как	5	3
16	для того чтобы	2	3
17	и в то	3	3
18	хотя бы в	2	3
19	о том как	4	3
20	о том что	4	3
21	это и есть	4	3
22	по крайней мере	10	2
23	в конце концов	2	2
24	действительности и ее	2	2
25	с одной стороны	3	2
26	не только не	4	2
27	во всяком случае	2	2
28	в этом и	2	2
29	от того что	4	2
30	только то что	3	2
31	т е в	7	2
32	этой точки зрения	3	2
33	в чем же	5	2
34	не только в	5	2
35	в том чтобы	2	2
36	можно было бы	3	2
37	не может не	3	2
