N	3gram	Tiupa_Lite	KulturaY
1	и т п	2	93
2	с точки зрения	4	36
3	в том что	15	33
4	можно было бы	2	25
5	во всяком случае	2	19
6	тем не менее	4	19
7	с другой стороны	5	17
8	по крайней мере	2	13
9	по отношению к	4	13
10	в связи с	4	12
11	в этом отношении	5	11
12	не может быть	5	11
13	о том что	3	10
14	не только в	4	8
15	в этом случае	2	8
16	чуть ли не	2	7
17	а с другой	2	7
18	только в том	2	7
19	тех пор пока	2	7
20	с одной стороны	8	7
21	до тех пор	2	7
22	в свою очередь	2	7
23	в то же	12	6
24	этой точки зрения	3	6
25	то же время	12	6
26	не говоря уже	3	6
27	в отличие от	6	6
28	речь идет о	3	5
29	в соответствии с	2	5
30	говоря уже о	2	5
31	в данном случае	6	5
32	с этой точки	3	5
33	в конечном счете	8	4
34	состоит в том	8	4
35	так или иначе	8	4
36	только то что	2	4
37	но с другой	3	3
38	все той же	2	3
39	в виду не	2	3
40	тех или иных	2	3
41	к этой книге	2	3
42	и прежде всего	4	2
43	прежде всего в	4	2
44	русской классической литературы	3	2
45	из того что	2	2
46	все ту же	3	2
47	а то и	2	2
48	поскольку речь идет	2	2
49	ничего общего с	2	2
50	в том числе	2	2
51	едва ли не	5	2
52	это всего лишь	2	2
