N	2gram	Bakhtin_sl	Tvorches
1	и в	69	56
2	как бы	16	41
3	в его	19	37
4	в романе	64	34
5	в романах	3	30
6	в то	17	30
7	то же	17	25
8	не только	37	24
9	но в	13	24
10	же время	15	24
11	то есть	46	23
12	и его	45	23
13	и не	32	23
14	а в	10	23
15	как и	8	23
16	и т	56	22
17	в этом	21	22
18	в том	7	21
19	что в	3	21
20	том что	6	19
21	он не	5	19
22	может быть	40	19
23	потому что	2	19
24	у него	5	18
25	то что	2	18
26	что он	2	17
27	все это	14	17
28	т д	7	17
29	и на	17	17
30	таким образом	16	17
31	никогда не	9	16
32	прежде всего	14	16
33	как в	18	16
34	при этом	12	16
35	не может	27	16
36	но и	37	16
37	xix века	2	15
38	с его	8	15
39	но это	3	15
40	и с	10	15
41	это не	8	14
42	и даже	11	14
43	о том	5	13
44	а не	29	13
45	в целом	3	12
46	в котором	2	12
47	все же	10	11
48	в своей	8	11
49	для него	8	11
50	не в	14	10
51	в основном	7	10
52	так и	22	10
53	уже в	2	10
54	но не	7	10
55	в самом	6	10
56	только в	9	10
57	в свою	4	9
58	в нем	44	9
59	один из	9	9
60	и от	5	9
61	человека в	5	9
62	жизни в	2	9
63	даже в	4	8
64	так же	2	8
65	в себе	3	8
66	человека и	3	8
67	в духе	3	8
68	в их	6	8
69	одной из	4	8
70	не менее	4	8
71	на его	9	8
72	так как	7	8
73	вовсе не	16	8
74	к этому	3	8
75	еще не	9	8
76	одним из	5	8
77	именно в	5	8
78	хотя и	4	8
79	вместе с	3	8
80	влияние на	3	7
81	в чем	2	7
82	например в	6	7
83	в которой	4	7
84	в этих	8	7
85	уже не	5	7
86	и сам	4	7
87	его в	7	6
88	приводит к	2	6
89	героя в	2	6
90	так что	2	6
91	и все	9	6
92	место в	2	6
93	не столько	4	6
94	все эти	15	6
95	и ее	3	6
96	одна из	6	6
97	хотя бы	6	6
98	xx века	2	6
99	и как	3	6
100	еще более	7	6
101	в бытовой	3	6
102	с ним	12	6
103	ничего не	5	5
104	до конца	25	5
105	в одной	2	5
106	по отношению	2	5
107	и у	2	5
108	но эта	2	5
109	и других	5	5
110	том же	4	5
111	как он	2	5
112	в виде	4	5
113	т п	49	5
114	в своем	9	5
115	а с	2	5
116	в них	11	5
117	что и	2	5
118	отметить что	3	5
119	в ее	2	5
120	мы не	4	5
121	и по	3	5
122	что они	2	5
123	в истории	6	5
124	все время	4	5
125	с этим	5	5
126	дело не	2	5
127	между тем	5	5
128	героя и	5	5
129	и другие	3	5
130	как у	2	5
131	в известной	3	5
132	отношению к	2	5
133	с другой	8	5
134	романа и	8	5
135	его романах	2	5
136	из них	3	5
137	не было	4	5
138	в таком	5	5
139	перед нами	7	4
140	в плане	11	4
141	и потому	9	4
142	сливается с	6	4
143	не был	2	4
144	роль в	4	4
145	только на	3	4
146	в частности	3	4
147	как это	3	4
148	отличие от	13	4
149	не знает	3	4
150	стремится к	2	4
151	того что	4	4
152	что все	2	4
153	к нему	7	4
154	точки зрения	24	4
155	ту же	5	4
156	так в	2	4
157	могут быть	25	4
158	в роман	22	4
159	сих пор	4	4
160	однако в	3	4
161	однако этот	2	4
162	же как	2	4
163	с ними	8	4
164	мы видим	2	4
165	в основе	8	4
166	но эти	3	4
167	х годов	2	4
168	так сказать	11	4
169	по преимуществу	5	4
170	дело в	2	4
171	в каждом	5	4
172	особенно в	3	4
173	себя в	14	4
174	и одновременно	2	4
175	и наконец	9	4
176	и есть	2	4
177	с этой	3	4
178	героев и	2	4
179	его и	5	4
180	в отличие	12	4
181	и более	3	4
182	связан с	2	4
183	далеко не	7	4
184	с точки	11	4
185	говорить о	2	4
186	той же	3	4
187	связана с	2	4
188	но он	4	4
189	до сих	4	4
190	не есть	2	3
191	на самом	2	3
192	в процессе	14	3
193	от него	5	3
194	в другом	4	3
195	отношение к	8	3
196	как к	5	3
197	друг друга	3	3
198	подхода к	5	3
199	в виду	2	3
200	на все	3	3
201	и тем	3	3
202	людей и	2	3
203	в один	2	3
204	и мир	9	3
205	как уже	2	3
206	в него	9	3
207	в свете	3	3
208	более того	5	3
209	только с	3	3
210	к тому	3	3
211	от этой	3	3
212	связь с	2	3
213	в ней	7	3
214	одного из	2	3
215	самого автора	4	3
216	другой стороны	5	3
217	что оно	4	3
218	всяком случае	7	3
219	просто не	2	3
220	себя как	2	3
221	переходит в	3	3
222	и др	17	3
223	и до	2	3
224	там где	10	3
225	в первом	3	3
226	романа мы	2	3
227	эти слова	4	3
228	можно сказать	2	3
229	как мы	15	3
230	да и	2	3
231	сказать что	4	3
232	то в	2	3
233	из этих	3	3
234	не все	2	3
235	его как	3	3
236	к ней	2	3
237	с ее	6	3
238	отличается от	3	3
239	автора в	2	3
240	кроме того	6	3
241	лишь в	6	3
242	был бы	2	3
243	не является	3	3
244	для того	2	3
245	и их	6	3
246	у нас	2	3
247	со всеми	3	3
248	на протяжении	3	3
249	не с	5	3
250	но уже	2	3
251	автора и	6	3
252	в себя	3	3
253	и к	9	3
254	на этом	4	3
255	по себе	4	3
256	несмотря на	2	3
257	может не	9	3
258	жизни и	5	3
259	в направлении	2	3
260	и что	2	3
261	во всяком	9	3
262	и особенно	2	3
263	или в	10	3
264	и только	2	3
265	жизни но	2	3
266	в одном	4	3
267	данном случае	3	2
268	в нее	3	2
269	от автора	4	2
270	которого он	3	2
271	в свой	3	2
272	в отношении	9	2
273	не могут	7	2
274	но мы	2	2
275	слова не	5	2
276	в построении	2	2
277	но как	2	2
278	еще раз	3	2
279	включает в	3	2
280	по своей	2	2
281	и стиль	2	2
282	есть не	2	2
283	должен быть	3	2
284	а как	3	2
285	героя романа	2	2
286	свою очередь	3	2
287	в одно	2	2
288	точку зрения	6	2
289	xviii века	3	2
290	связано с	3	2
291	от других	2	2
292	смысл и	3	2
293	образом в	4	2
294	о нем	6	2
295	действующих лиц	2	2
296	нем и	5	2
297	тому что	2	2
298	она не	8	2
299	на том	2	2
300	он в	6	2
301	того же	7	2
302	мы наблюдаем	2	2
303	жизнь в	2	2
304	свои собственные	2	2
305	точка зрения	10	2
