N	2gram	Kanaev_Sov	VrazhdaK
1	не только	4	9
2	и что	2	8
3	в этом	7	8
4	и в	7	8
5	что в	2	7
6	и все	3	7
7	но в	3	6
8	как и	6	6
9	в нем	3	6
10	все же	3	6
11	и даже	2	6
12	и не	6	5
13	то же	3	5
14	у него	2	5
15	для нас	3	4
16	уже в	3	4
17	это не	4	4
18	все это	3	4
19	при этом	3	4
20	как бы	4	4
21	может быть	12	4
22	в том	4	3
23	и во	2	3
24	в его	2	3
25	в конце	3	3
26	уже не	2	2
27	одна из	3	2
28	с точки	5	2
29	мы знаем	2	2
30	а в	4	2
31	в этой	3	2
32	в себе	3	2
33	еще не	3	2
34	точки зрения	12	2
35	таким образом	11	2
36	в свою	2	2
37	по мнению	2	2
38	их в	4	2
39	не может	17	2
40	из них	4	2
41	не менее	2	2
42	отнюдь не	3	2
43	вместе с	4	2
