N	2gram	Propp_Morf	slovoVRo
1	и в	17	92
2	и т	62	82
3	может быть	61	59
4	и его	3	59
5	и не	16	51
6	не только	8	44
7	не может	19	41
8	но и	9	39
9	в этом	18	36
10	а не	11	34
11	во всех	6	32
12	так и	10	30
13	точки зрения	7	30
14	могут быть	21	29
15	и др	12	29
16	в пределах	3	29
17	все это	2	25
18	как бы	6	24
19	то же	10	23
20	не в	3	21
21	в сущности	3	21
22	как в	5	21
23	вовсе не	6	21
24	в то	4	20
25	прежде всего	14	19
26	как мы	8	19
27	как и	4	18
28	себя в	2	18
29	все же	9	17
30	оно не	2	17
31	все эти	5	17
32	в основе	2	17
33	и даже	2	17
34	в большинстве	3	17
35	таким образом	26	17
36	но в	4	16
37	там где	5	15
38	с точки	6	15
39	только в	3	14
40	это не	6	13
41	с его	3	13
42	и для	4	13
43	с другой	9	13
44	а в	8	12
45	или в	6	12
46	во всяком	2	12
47	еще не	4	12
48	и к	4	12
49	один из	7	11
50	большинстве случаев	3	11
51	на его	5	11
52	одной стороны	2	11
53	в этих	17	11
54	с одной	2	11
55	для него	2	11
56	и их	3	10
57	в том	10	10
58	она не	2	10
59	с другими	2	10
60	т д	60	10
61	далеко не	5	10
62	передачи и	2	10
63	уже не	4	10
64	может не	2	10
65	его в	4	9
66	одним из	2	9
67	или менее	2	9
68	к нему	3	9
69	более или	2	9
70	этом случае	10	9
71	сказать что	4	9
72	одна из	5	9
73	так как	20	9
74	героя и	3	9
75	но не	8	9
76	он не	5	9
77	быть и	2	9
78	не могут	7	8
79	в одной	2	8
80	не на	2	8
81	с этим	14	8
82	входит в	4	8
83	для нас	2	8
84	всяком случае	2	8
85	перед нами	14	7
86	том что	7	7
87	от него	2	7
88	друг друга	3	7
89	ту же	2	7
90	но здесь	2	7
91	в целом	5	7
92	связи с	12	7
93	например в	2	7
94	у него	2	7
95	и иных	2	7
96	здесь не	3	7
97	но все	4	7
98	также и	6	7
99	кроме того	3	7
100	мы уже	4	7
101	ничего не	5	6
102	роль в	2	6
103	на этом	4	6
104	а также	7	6
105	что в	10	6
106	ни в	3	6
107	в качестве	8	6
108	можно сказать	2	6
109	другой стороны	5	6
110	говорить о	4	6
111	и здесь	7	6
112	хотя бы	5	6
113	себя и	2	6
114	в одном	2	6
115	между тем	5	6
116	героя в	5	5
117	а вовсе	2	5
118	не знает	2	5
119	не менее	7	5
120	но оно	2	5
121	отношению к	7	5
122	а затем	10	5
123	мы не	8	5
124	и по	3	5
125	эти формы	2	5
126	в других	5	5
127	хотя и	5	5
128	в данном	2	5
129	и при	3	5
130	по отношению	7	5
131	в результате	8	5
132	этом отношении	2	5
133	не является	4	5
134	для того	3	5
135	его и	2	5
136	должна быть	2	5
137	и более	2	5
138	не с	2	5
139	как такового	2	5
140	они не	3	5
141	о том	6	5
142	оно может	4	5
143	и этим	7	5
144	формы передачи	3	4
145	в различных	2	4
146	так же	4	4
147	но как	3	4
148	и ее	5	4
149	а на	3	4
150	в другом	2	4
151	что и	10	4
152	что он	5	4
153	он должен	3	4
154	не всегда	10	4
155	однако в	2	4
156	в виде	3	4
157	в частности	2	4
158	от других	2	4
159	того что	3	4
160	в чем	2	4
161	того чтобы	4	4
162	или иные	2	4
163	одной из	2	4
164	но эти	3	4
165	но это	6	4
166	дело не	2	4
167	в которой	3	4
168	и как	6	4
169	если бы	3	4
170	вообще не	2	4
171	с этой	3	4
172	к тому	5	4
173	он может	2	4
174	и другим	3	4
175	из них	4	4
176	в некоторых	4	4
177	по существу	13	4
178	на первый	3	4
179	данном случае	2	3
180	в нее	2	3
181	в иных	4	3
182	и заставляет	2	3
183	и вне	3	3
184	в свое	2	3
185	как это	7	3
186	как таковые	4	3
187	на котором	4	3
188	тому что	5	3
189	между собой	5	3
190	смысле слова	4	3
191	было бы	5	3
192	в первом	5	3
193	к этому	4	3
194	из этих	2	3
195	в собственном	3	3
196	не все	6	3
197	если она	2	3
198	это было	3	3
199	собственном смысле	3	3
200	на него	4	3
201	лишь на	2	3
202	во второй	2	3
203	тем что	4	3
204	в связи	10	3
205	и другие	6	3
206	нами в	4	3
207	за ней	2	3
208	или на	3	3
209	эта форма	14	3
210	в этой	3	3
211	или наоборот	2	3
212	на нем	3	3
213	потому что	7	3
214	целый ряд	3	3
215	если мы	6	3
216	входить в	2	3
217	в форме	6	3
218	связана с	3	3
219	и тем	3	3
220	без всякого	2	3
221	тем и	2	3
222	чем в	2	3
223	на самом	4	2
224	в таких	3	2
225	которое может	2	2
226	заставляет его	2	2
227	но мы	3	2
228	чаще всего	11	2
229	бы они	2	2
230	но такое	2	2
231	к себе	2	2
232	и у	3	2
233	одному из	3	2
234	и есть	3	2
235	о формах	3	2
236	на пути	4	2
237	это и	3	2
238	ни одной	2	2
239	и за	2	2
240	оно как	2	2
241	в другую	2	2
242	как уже	3	2
243	в один	3	2
244	к различным	2	2
245	а с	2	2
