N	2gram	Trubetskoy	VeschiIm
1	не есть	3	79
2	и не	19	57
3	не только	9	48
4	то что	13	48
5	не может	22	46
6	и в	14	45
7	и есть	2	40
8	может быть	9	39
9	и т	3	39
10	а не	2	37
11	потому что	5	25
12	было бы	5	24
13	не просто	2	24
14	в себе	9	23
15	по себе	2	23
16	только в	5	23
17	и что	2	22
18	что такое	2	20
19	как бы	4	20
20	с нею	3	19
21	что это	3	19
22	но и	10	19
23	что же	4	19
24	все же	4	18
25	в этом	17	18
26	прежде всего	8	17
27	так как	4	17
28	того что	3	16
29	таким образом	11	16
30	в том	17	15
31	как и	4	15
32	в ней	2	15
33	уже не	2	15
34	не в	4	14
35	и то	4	14
36	но это	2	14
37	том что	9	13
38	есть и	2	13
39	не будет	7	13
40	и для	6	13
41	в самом	3	13
42	то ни	4	13
43	но если	3	12
44	совершенно не	2	12
45	что в	4	12
46	точки зрения	11	12
47	что и	3	12
48	что они	3	12
49	и как	3	12
50	то же	11	12
51	еще не	3	12
52	и даже	2	12
53	о том	7	12
54	и с	7	12
55	бы то	4	12
56	в то	10	11
57	себя в	4	11
58	– не	2	11
59	ни в	2	11
60	и только	5	11
61	что оно	3	10
62	ясно что	2	10
63	нисколько не	2	9
64	со стороны	4	9
65	так что	2	9
66	в своем	6	9
67	она не	2	9
68	ли это	4	9
69	должно быть	3	9
70	хотя бы	5	9
71	в результате	2	9
72	на то	5	9
73	но не	4	9
74	говорить о	3	9
75	с ним	2	9
76	его в	4	8
77	и потому	3	8
78	указывает на	2	8
79	даже не	2	8
80	что он	6	8
81	но в	2	8
82	себя и	5	8
83	все это	6	8
84	это есть	2	8
85	должна быть	2	8
86	отличается от	2	8
87	если бы	6	8
88	с тем	6	8
89	для него	6	8
90	отнюдь не	7	8
91	от того	4	7
92	и тем	2	7
93	из них	3	7
94	самом деле	7	7
95	а в	5	7
96	можно ли	3	7
97	все эти	2	7
98	сама по	2	7
99	тем что	3	7
100	ни от	2	7
101	и тогда	2	7
102	никогда не	5	6
103	вопрос о	5	6
104	для себя	2	6
105	в нем	5	6
106	в своей	5	6
107	одна из	3	6
108	в данном	7	6
109	можно было	4	6
110	на почве	2	6
111	этот вопрос	2	6
112	их в	2	6
113	несмотря на	3	6
114	жизни и	4	6
115	с точки	9	6
116	и если	7	5
117	да и	3	5
118	значило бы	2	5
119	мы должны	7	5
120	вместе с	4	5
121	даже и	2	5
122	тогда когда	4	5
123	то это	3	5
124	на себя	2	5
125	в его	4	5
126	быть и	2	5
127	для этого	3	5
128	на это	2	5
129	во всех	5	5
130	но совершенно	2	5
131	что для	3	5
132	все что	4	5
133	если же	2	5
134	так же	2	4
135	она может	3	4
136	к себе	2	4
137	в силу	2	4
138	в конце	3	4
139	в их	4	4
140	что все	3	4
141	в этой	4	4
142	более или	4	4
143	так чтобы	3	4
144	того чтобы	8	4
145	это учение	2	4
146	в качестве	3	4
147	не было	3	4
148	во всяком	9	4
149	и от	2	4
150	то в	3	4
151	с этим	2	4
152	с самим	2	4
153	мы можем	2	4
154	и вот	2	4
155	во имя	5	4
156	его и	2	4
157	и о	2	4
158	отношении к	2	4
159	и более	2	4
160	что только	2	4
161	в котором	2	4
162	точке зрения	3	4
163	главным образом	3	4
164	или менее	4	4
165	может не	3	4
166	сводится к	3	4
167	же время	10	4
168	он не	5	4
169	а следовательно	3	4
170	но даже	2	3
171	но она	2	3
172	в другом	3	3
173	по самому	2	3
174	в виде	3	3
175	только на	2	3
176	в частности	2	3
177	и ни	3	3
178	а с	2	3
179	по существу	5	3
180	к нему	2	3
181	только с	2	3
182	к тому	7	3
183	себя как	2	3
184	если не	2	3
185	тогда как	2	3
186	и во	3	3
187	той или	3	3
188	раз навсегда	2	3
189	жизни в	5	3
190	для того	6	3
191	ни к	7	3
192	у него	2	3
193	в своих	6	3
194	чтобы она	2	3
195	из которых	5	3
196	не можем	2	3
197	из этого	3	3
198	бы ни	2	3
199	или в	3	3
200	отношения к	2	3
201	не к	2	3
202	мы уже	2	3
203	не о	2	2
204	данном случае	3	2
205	она будет	2	2
206	тем самым	2	2
207	следовательно и	2	2
208	помнить что	2	2
209	тому что	2	2
210	для нее	2	2
211	конце концов	3	2
212	это только	2	2
213	сделать это	2	2
214	точку зрения	4	2
215	не так	2	2
216	на этой	2	2
217	с другом	14	2
218	и человек	2	2
219	а потому	5	2
220	всяком случае	6	2
221	к такому	2	2
222	между собой	5	2
223	себя от	3	2
224	и этот	3	2
225	связи с	3	2
226	признать что	6	2
227	самого себя	7	2
228	если они	2	2
229	в россии	6	2
230	в начале	2	2
231	только к	3	2
232	о котором	3	2
233	этом и	2	2
234	друг с	14	2
235	стоять на	2	2
236	себе и	4	2
237	том чтобы	3	2
238	именно в	3	2
239	зависит от	2	2
240	в последние	5	2
241	и к	6	2
242	но для	2	2
243	приводит к	4	2
244	к чему	2	2
245	о которых	3	2
246	для нас	2	2
247	на такой	2	2
248	и на	5	2
249	он сам	3	2
250	конечно не	5	2
251	бы его	2	2
252	является не	2	2
253	как будто	2	2
254	во всем	4	2
255	мы говорили	3	2
