N	3gram	Vygotskiy_	DiskursI
1	в том что	20	28
2	с одной стороны	6	14
3	не может быть	3	12
4	в данном случае	5	12
5	о том что	8	9
6	состоит в том	2	8
7	с точки зрения	11	6
8	к тому же	2	6
9	то же самое	12	5
10	и как бы	2	5
11	несет в себе	3	5
12	с другой стороны	5	5
13	и может быть	3	5
14	в свою очередь	3	5
15	не в том	2	4
16	в наше время	2	4
17	одно и то	3	3
18	и то же	3	3
19	в том случае	4	3
20	по аналогии с	2	3
21	в мире в	2	3
22	во всяком случае	6	3
23	того или иного	2	3
24	сами по себе	3	2
25	каждый из них	3	2
26	речь идет о	5	2
27	и той же	3	2
28	как мы видели	2	2
29	все то что	13	2
30	потому что в	2	2
31	не совпадает с	2	2
32	том случае если	4	2
33	с самого начала	10	2
34	в том и	2	2
35	одной и той	3	2
36	только то что	3	2
37	только в том	5	2
38	ни одно из	2	2
39	и то что	3	2
40	в том чтобы	2	2
