N	2gram	Voloshinov	slovoVRo
1	и в	32	92
2	в романе	2	89
3	то есть	2	64
4	в нем	17	59
5	может быть	50	59
6	и его	33	59
7	и не	42	51
8	чужого слова	8	46
9	не только	18	44
10	не может	40	41
11	но и	17	39
12	до конца	6	37
13	в этом	27	36
14	а не	15	34
15	во всех	13	32
16	так и	21	30
17	точки зрения	48	30
18	могут быть	4	29
19	и др	3	29
20	языка и	28	29
21	в пределах	7	29
22	в его	10	27
23	слова в	8	26
24	все это	4	25
25	языка в	17	25
26	слово в	5	24
27	слова и	8	24
28	как бы	31	24
29	чужой речи	3	23
30	то же	19	23
31	и на	8	22
32	не в	13	21
33	в сущности	17	21
34	как в	5	21
35	вовсе не	15	21
36	в то	7	20
37	в процессе	31	20
38	прежде всего	19	19
39	как мы	26	19
40	или иной	8	18
41	как и	19	18
42	язык и	2	18
43	себя в	2	18
44	же время	7	18
45	все же	13	17
46	все эти	8	17
47	в истории	5	17
48	в основе	10	17
49	и даже	4	17
50	в большинстве	7	17
51	таким образом	29	17
52	к своему	2	16
53	отличие от	7	16
54	при этом	13	16
55	но в	13	16
56	там где	4	15
57	той или	5	15
58	и с	4	15
59	в той	6	15
60	с точки	31	15
61	в отличие	7	14
62	узком смысле	4	14
63	в узком	4	14
64	так сказать	19	14
65	только в	14	14
66	это не	5	13
67	и следовательно	8	13
68	иной степени	2	13
69	точка зрения	8	13
70	рядом с	7	13
71	с его	6	13
72	отношении к	8	13
73	и для	15	13
74	с другой	6	13
75	в слове	13	13
76	никогда не	7	12
77	в отношении	7	12
78	и потому	7	12
79	а в	5	12
80	или в	4	12
81	во всяком	8	12
82	словом и	2	12
83	еще не	7	12
84	слово как	6	12
85	и к	3	12
86	чужое слово	8	11
87	языка как	26	11
88	большинстве случаев	7	11
89	с ними	5	11
90	одной стороны	2	11
91	слова как	9	11
92	в этих	2	11
93	язык в	5	11
94	с одной	2	11
95	языкового сознания	3	11
96	для него	18	11
97	в своем	3	10
98	и их	2	10
99	в том	13	10
100	и все	8	10
101	она не	2	10
102	в себе	5	10
103	с другими	6	10
104	всех этих	2	10
105	лишь в	17	10
106	в языке	8	10
107	далеко не	5	10
108	уже не	2	10
109	его в	7	9
110	и от	6	9
111	одним из	4	9
112	пределах одного	2	9
113	и других	3	9
114	в основном	10	9
115	или менее	3	9
116	более того	7	9
117	к нему	5	9
118	более или	3	9
119	здесь в	5	9
120	в их	5	9
121	и мир	2	9
122	в своей	5	9
123	этом случае	3	9
124	сказать что	7	9
125	одна из	6	9
126	так как	5	9
127	языка а	5	9
128	с ее	2	9
129	но не	2	9
130	в смысле	11	9
131	на почве	14	9
132	конечно не	9	9
133	он не	5	9
