N	2gram	Propp_Russ	Mirosoze
1	и в	59	97
2	может быть	14	64
3	не только	28	63
4	в этом	18	55
5	но и	20	54
6	а не	3	53
7	в нем	3	49
8	не может	6	49
9	у него	2	47
10	и не	6	39
11	потому что	15	37
12	в ней	3	37
13	не было	3	36
14	не в	2	34
15	но он	3	30
16	прежде всего	2	29
17	как и	19	29
18	но в	5	27
19	и это	2	25
20	он был	2	25
21	и все	4	24
22	у нас	11	24
23	в своем	3	23
24	что в	35	23
25	что он	2	22
26	до конца	5	19
27	в россии	4	19
28	как бы	18	19
29	в его	3	18
30	и потому	3	17
31	того что	6	17
32	в том	33	16
33	том что	33	16
34	то что	10	16
35	было бы	3	16
36	на земле	3	16
37	и его	2	16
38	не был	3	15
39	в этой	4	15
40	в котором	2	15
41	она не	4	14
42	так как	25	14
43	в русском	4	13
44	та же	4	13
45	друг друга	3	13
46	и на	14	13
47	это не	14	12
48	и у	5	12
49	к нему	3	12
50	в них	10	12
51	все это	12	12
52	но не	7	12
53	с тем	14	11
54	и там	2	11
55	но это	5	11
56	в которой	3	11
57	только в	4	11
58	как в	10	11
59	и для	3	11
60	уже не	9	11
61	и к	3	11
62	так же	7	10
63	один из	10	10
64	чем у	2	10
65	то же	6	10
66	не имеет	9	10
67	есть и	2	9
68	а в	16	9
69	к тому	4	9
70	что и	8	9
71	и во	2	9
72	из самых	2	9
73	должно быть	2	9
74	то есть	3	9
75	русского народа	3	9
76	все что	2	9
77	в свою	3	9
78	с ним	2	9
79	вместе с	16	9
80	вопрос о	4	8
81	ничего не	4	8
82	в этих	3	8
83	христа и	3	8
84	того чтобы	6	8
85	т е	41	8
86	христа в	2	8
87	нет в	2	8
88	тем что	7	8
89	для того	6	8
90	что есть	2	8
91	о том	14	8
92	и с	12	8
93	еще в	6	8
94	уже в	2	8
95	как он	2	7
96	но если	2	7
97	должен быть	2	7
98	в народе	2	7
99	что все	2	7
100	точки зрения	3	7
101	себя и	2	7
102	что она	4	7
103	на этом	6	7
104	в жизни	2	7
105	в нашем	2	7
106	все в	2	7
107	во всем	2	7
108	чем в	4	7
109	его в	9	6
110	вера в	2	6
111	на все	3	6
112	у них	2	6
113	увидим что	2	6
114	и те	3	6
115	в образе	3	6
116	должен был	3	6
117	быть и	3	6
118	того как	6	6
119	и от	2	6
120	что это	4	6
121	там и	2	6
122	можно было	3	6
123	к ней	4	6
124	к другу	2	6
125	с этой	2	6
126	жизнь и	2	6
127	и более	3	6
128	что у	3	6
129	на то	2	6
130	и здесь	3	6
131	в которых	8	6
132	друг к	2	6
133	не к	3	6
134	оно не	2	5
135	означает что	2	5
136	с собой	4	5
137	в то	3	5
138	западной европы	3	5
139	в их	5	5
140	так и	8	5
141	они и	2	5
142	от этого	2	5
143	тот кто	2	5
144	связано с	3	5
145	в более	2	5
146	как у	2	5
147	до того	3	5
148	интерес к	2	5
149	тот же	2	5
150	одно из	6	5
151	с этим	4	5
152	к новому	2	5
153	которые не	3	5
154	и как	2	5
155	мы увидим	8	5
156	для этого	6	5
157	еще не	7	5
158	его и	2	5
159	как будто	6	5
160	после того	3	5
161	думать что	3	5
162	он же	4	5
163	когда он	3	5
164	у русских	12	5
165	ее и	2	4
166	в каждом	2	4
167	и через	2	4
168	иное как	3	4
169	не что	3	4
170	не знали	2	4
171	он должен	2	4
172	не всегда	4	4
173	так что	4	4
174	что иное	3	4
175	есть в	2	4
176	в разных	3	4
177	к другому	2	4
178	а с	6	4
179	по своему	2	4
180	они были	2	4
181	в него	2	4
182	только с	2	4
183	тому что	4	4
184	земле и	4	4
185	место в	2	4
186	могут быть	3	4
187	тогда когда	4	4
188	для них	5	4
189	на землю	2	4
190	мы видим	2	4
191	и до	3	4
192	все эти	5	4
193	что они	8	4
194	не все	4	4
195	вряд ли	2	4
196	к земле	5	4
197	его с	4	4
198	значит что	2	4
199	не раскрывает	2	4
200	с ней	7	4
201	землю и	2	4
202	и по	10	4
203	в свете	5	4
204	в середине	4	4
205	и их	4	4
206	мы не	11	4
207	нас в	2	4
208	не случайно	2	4
209	в своих	3	4
210	и что	8	4
211	то время	3	4
212	на природу	2	4
213	будто бы	10	4
214	в иных	2	3
215	о чем	7	3
216	и поэтому	3	3
217	должны были	3	3
218	одним из	2	3
219	но она	3	3
220	раньше чем	2	3
221	все же	7	3
222	мы должны	3	3
223	между тем	9	3
224	в виду	3	3
225	ту же	2	3
226	для русских	2	3
227	же как	5	3
228	стоит в	3	3
229	с таким	2	3
230	хотя и	3	3
231	и то	2	3
232	а к	3	3
233	и еще	2	3
234	к этому	7	3
235	об этом	11	3
236	в этот	19	3
237	находится в	3	3
238	народов европы	2	3
239	как не	2	3
240	не значит	2	3
241	для нас	12	3
242	в пределах	2	3
243	во всех	6	3
244	не с	5	3
245	на этот	3	3
246	с другим	2	3
247	входит в	4	3
248	приводит к	4	3
249	их и	3	3
250	в одном	4	3
251	тому как	3	3
252	земли и	5	3
253	в землю	8	3
254	только одно	2	3
255	и после	2	3
256	и за	2	3
257	на самом	3	2
258	решить вопрос	2	2
259	последний день	3	2
260	были у	2	2
261	как можно	3	2
262	западной европе	2	2
263	его к	3	2
264	если в	3	2
265	народа в	2	2
266	на что	2	2
267	и других	9	2
268	под ним	2	2
269	после этого	6	2
270	нас не	3	2
271	во многих	14	2
272	его от	2	2
273	он так	2	2
274	в последний	5	2
275	от них	4	2
276	которые в	2	2
277	е годы	2	2
278	не менее	3	2
279	бросается в	3	2
280	в церкви	2	2
281	этот случай	2	2
282	не столько	3	2
283	же не	2	2
284	к жизни	3	2
285	не были	2	2
286	совершалось в	2	2
287	связи с	6	2
288	связаны с	6	2
289	е в	17	2
290	и ее	3	2
291	во время	23	2
292	во всей	2	2
293	этого слова	3	2
294	а мы	2	2
295	их в	7	2
296	между двумя	2	2
297	в прошлом	2	2
298	что если	2	2
299	когда мы	2	2
300	его как	2	2
301	церковь и	2	2
302	еще до	2	2
303	также в	5	2
304	переход от	3	2
305	в глаза	3	2
306	подобно тому	3	2
307	только для	3	2
308	ее в	7	2
309	можно сделать	3	2
310	не будут	2	2
311	и о	4	2
312	встреча и	2	2
313	не означает	2	2
314	но они	4	2
315	в какой	3	2
316	на западе	2	2
317	в е	2	2
318	к нам	2	2
319	а за	4	2
320	так называемый	2	2
321	их не	2	2
322	не оставляет	2	2
323	основана на	2	2
324	и действительно	2	2
325	ко всему	2	2
326	детскую игру	2	2
327	которая должна	2	2
328	и другой	5	2
329	и п	28	2
330	к тем	4	2
331	она в	4	2
332	но эта	2	2
333	у которых	2	2
