N	2gram	Vinokur_Vv	Tvorches
1	и в	35	56
2	как бы	7	41
3	в его	12	37
4	в то	6	30
5	то же	11	25
6	не только	26	24
7	но в	10	24
8	же время	6	24
9	и его	6	23
10	и не	13	23
11	а в	6	23
12	как и	7	23
13	и т	45	22
14	в этом	35	22
15	в том	38	21
16	что в	13	21
17	том что	30	19
18	может быть	30	19
19	потому что	18	19
20	то что	19	18
21	что он	5	17
22	все это	6	17
23	т д	39	17
24	и на	3	17
25	таким образом	21	17
26	никогда не	3	16
27	прежде всего	10	16
28	как в	3	16
29	при этом	3	16
30	не может	19	16
31	но и	7	16
32	в этой	3	15
33	но это	2	15
34	и с	2	15
35	это не	8	14
36	и даже	6	14
37	времени в	3	13
38	о том	16	13
39	а не	5	13
40	в целом	5	12
41	в котором	4	12
42	все же	9	11
43	в своей	4	11
44	в конце	3	10
45	не в	10	10
46	так и	2	10
47	уже в	5	10
48	но не	9	10
49	в самом	13	10
50	он сам	3	10
51	только в	16	10
52	как будто	3	10
53	в свою	2	9
54	в нем	13	9
55	один из	6	9
56	а затем	2	9
57	наряду с	3	9
58	в своих	2	9
59	так же	3	8
60	в себе	4	8
61	в их	12	8
62	одной из	4	8
63	не менее	9	8
64	это уже	2	8
65	так как	15	8
66	тогда как	2	8
67	вовсе не	6	8
68	к этому	3	8
69	об этом	6	8
70	в соответствии	2	8
71	еще не	4	8
72	одним из	5	8
73	именно в	8	8
74	романов достоевского	2	8
75	соответствии с	2	8
76	хотя и	5	8
77	вместе с	6	8
78	казалось бы	2	7
79	за собой	3	7
80	самом деле	7	7
81	своего рода	3	7
82	в чем	4	7
83	например в	2	7
84	в дальнейшем	2	7
85	что она	3	7
86	в этих	3	7
87	уже не	6	7
88	и сам	3	7
89	его в	6	6
90	и далее	2	6
91	так что	5	6
92	не столько	2	6
93	все эти	3	6
94	в принципе	3	6
95	и ее	4	6
96	одна из	3	6
97	хотя бы	6	6
98	и как	9	6
99	если бы	3	6
100	в конечном	3	6
101	а потому	5	6
102	ничего не	2	5
103	до конца	3	5
104	по отношению	4	5
105	но если	6	5
106	и других	3	5
107	том же	2	5
108	как он	6	5
109	в виде	4	5
110	т п	5	5
111	в своем	3	5
112	а с	2	5
113	в них	5	5
114	и это	6	5
115	что не	5	5
116	что и	5	5
117	в ее	11	5
118	мы не	2	5
119	что они	2	5
120	в истории	9	5
121	что это	3	5
122	все время	2	5
123	с этим	3	5
124	дело не	5	5
