N	3gram	Tiupa_Hudo	Marksizm
1	с точки зрения	5	46
2	не может быть	5	25
3	в самом деле	5	19
4	в то же	11	15
5	по отношению к	15	15
6	то же время	11	15
7	в связи с	3	14
8	в том что	15	14
9	для того чтобы	2	11
10	до сих пор	3	11
11	но в то	3	9
12	то же самое	3	8
13	на то что	2	6
14	с одной стороны	4	6
15	в этом отношении	4	5
16	к тому что	8	5
17	мы уже знаем	2	4
18	в первом случае	2	4
19	о том что	14	4
20	так и от	2	4
21	но все же	2	4
22	но при этом	3	3
23	тем не менее	6	3
24	в следующей главе	3	3
25	можно было бы	5	3
26	не только в	4	3
27	в значительной степени	3	3
28	и в этом	3	3
29	связи с этим	2	3
30	же как и	2	2
31	так же как	2	2
32	в данном случае	3	2
33	что он не	3	2
34	в этом и	2	2
35	как и в	5	2
36	а между тем	3	2
37	и в самом	4	2
38	самом деле в	2	2
39	к себе самому	2	2
40	друг от друга	2	2
41	ту или иную	2	2
42	так или иначе	3	2
43	того или иного	4	2
