N	2gram	Tiupa_Narr	Tragedij
1	и в	19	18
2	в этом	17	9
3	не только	32	8
4	и не	20	7
5	он сам	2	7
6	и на	3	7
7	как бы	4	7
8	и с	4	7
9	может быть	25	7
10	же время	4	6
11	что он	6	6
12	но в	6	6
13	и его	5	6
14	у него	4	6
15	несмотря на	2	5
16	что это	3	5
17	все же	7	5
18	это не	2	5
19	то же	4	5
20	как и	7	5
21	так и	9	5
22	не может	10	5
23	в то	3	5
24	что в	3	4
25	еще не	7	4
26	но и	23	4
27	прежде всего	4	4
28	том что	14	4
29	в этой	5	4
30	так же	2	4
31	и все	2	4
32	в нем	4	4
33	то что	11	4
34	и даже	3	4
35	в себе	8	4
36	один из	3	3
37	своего рода	12	3
38	и как	5	3
39	в мире	9	3
40	уже в	3	3
41	тем самым	6	3
42	к нему	5	3
43	в своем	2	3
44	при этом	9	3
45	в его	9	3
46	все эти	2	3
47	мог бы	3	3
48	и он	3	3
49	отнюдь не	5	3
50	о чем	2	3
51	с ее	3	3
52	как будто	3	3
53	как в	7	3
54	как это	6	3
55	для него	2	3
56	то есть	19	3
57	никогда не	3	2
58	в рассказе	4	2
59	но все	4	2
60	данном случае	4	2
61	одна из	3	2
62	точно так	2	2
63	тем что	3	2
64	перед нами	4	2
65	его в	2	2
66	не имеет	2	2
67	ничего не	2	2
68	в данном	5	2
69	в ее	3	2
70	к тому	7	2
71	говорит о	2	2
72	о том	6	2
73	ни в	3	2
74	не в	14	2
75	столь же	3	2
76	жизнью и	2	2
77	было в	2	2
78	в частности	14	2
79	только о	2	2
80	в таком	2	2
81	он не	3	2
82	и ее	2	2
83	в первом	3	2
84	в самую	2	2
85	уже не	5	2
86	отличие от	5	2
87	в том	18	2
88	и до	2	2
89	который в	2	2
90	не случайно	2	2
91	в отличие	5	2
92	как говорит	3	2
93	не мог	4	2
94	с его	6	2
95	времени в	2	2
96	отношение к	2	2
