N	3gram	Losev_Vlad	EvropaiC
1	в том что	13	16
2	более или менее	5	8
3	мы знаем что	2	7
4	для того чтобы	3	7
5	на то что	6	7
6	так или иначе	3	5
7	к тому же	3	5
8	тем не менее	8	4
9	с другой стороны	3	4
10	в конце концов	6	4
11	о том что	9	4
12	не может быть	4	4
13	вместе с тем	2	3
14	бы то ни	2	3
15	в настоящее время	2	3
16	в том же	3	3
17	в связи с	7	3
18	и то что	7	3
19	то что у	2	2
20	во всяком случае	8	2
21	и в том	2	2
22	в то время	6	2
23	ко всему этому	2	2
24	что же касается	8	2
25	то же время	7	2
26	том что он	4	2
27	в то же	7	2
28	в свою очередь	2	2
