N	2gram	Nazirov_Tr	EvropaiC
1	в том	2	31
2	и в	18	24
3	том что	4	20
4	все эти	3	19
5	не может	5	18
6	то что	4	18
7	может быть	7	17
8	все же	5	15
9	в этом	9	13
10	все это	4	13
11	в своем	3	12
12	но и	4	11
13	не только	8	10
14	так и	5	10
15	как и	5	10
16	как бы	7	10
17	и не	7	9
18	не в	2	9
19	что в	4	9
20	и все	4	9
21	потому что	2	9
22	при этом	3	9
23	и что	4	9
24	так же	4	8
25	к тому	2	8
26	в самом	2	8
27	что он	6	7
28	о том	2	7
29	что и	2	7
30	в этой	4	7
31	в мире	3	6
32	еще не	4	6
33	так что	2	6
34	в то	5	6
35	и на	7	6
36	несмотря на	5	6
37	что с	3	6
38	с ним	3	6
39	его в	2	5
40	но все	2	5
41	в себе	4	5
42	должно быть	3	5
43	ничем не	2	5
44	что это	5	5
45	у него	6	5
46	что все	2	5
47	но в	6	5
48	столь же	2	5
49	и с	7	5
50	в целом	4	5
51	в его	3	5
52	как будто	3	5
53	никогда не	2	4
54	и то	2	4
55	не могут	2	4
56	в конце	3	4
57	отношение к	2	4
58	состоит из	2	4
59	то же	5	4
60	в виде	2	4
61	с тем	2	4
62	не так	2	4
63	в таком	2	4
64	он не	2	4
65	в дальнейшем	5	4
66	данном случае	2	3
67	вопрос о	2	3
68	тем самым	3	3
69	это не	5	3
70	и до	2	3
71	даже если	2	3
72	как у	2	3
73	прежде всего	4	3
74	отличие от	2	3
75	жизнь и	3	3
76	и это	2	3
77	в данном	2	3
78	в нем	4	3
79	одна из	2	2
80	нет в	2	2
81	то и	2	2
82	между этими	2	2
83	и ее	2	2
84	что она	2	2
85	этими двумя	2	2
86	то есть	3	2
87	друг друга	2	2
88	в частности	2	2
89	никто не	3	2
90	в глазах	2	2
91	для него	3	2
92	не имеет	2	2
93	к нему	3	2
94	отнюдь не	3	2
95	что за	3	2
96	и его	6	2
97	же время	6	2
98	с ее	3	2
99	и сам	3	2
100	что эти	2	2
101	я не	4	2
